"cohort_month","month_number","cohort_customers","retained_customers","retention_rate_pct"
"2020-01-01 00:00:00+05:30",57,499,11,2.20
"2020-01-01 00:00:00+05:30",58,499,8,1.60
"2020-01-01 00:00:00+05:30",59,499,17,3.41
"2020-01-01 00:00:00+05:30",60,499,10,2.00
"2020-01-01 00:00:00+05:30",61,499,8,1.60
"2020-01-01 00:00:00+05:30",62,499,16,3.21
"2020-01-01 00:00:00+05:30",63,499,9,1.80
"2020-01-01 00:00:00+05:30",64,499,9,1.80
"2020-01-01 00:00:00+05:30",65,499,6,1.20
"2020-01-01 00:00:00+05:30",66,499,13,2.61
"2020-01-01 00:00:00+05:30",67,499,13,2.61
"2020-01-01 00:00:00+05:30",68,499,10,2.00
"2020-01-01 00:00:00+05:30",69,499,15,3.01
"2020-02-01 00:00:00+05:30",0,441,441,100.00
"2020-02-01 00:00:00+05:30",1,441,5,1.13
"2020-02-01 00:00:00+05:30",2,441,18,4.08
"2020-02-01 00:00:00+05:30",3,441,11,2.49
"2020-02-01 00:00:00+05:30",4,441,9,2.04
"2020-02-01 00:00:00+05:30",5,441,12,2.72
"2020-02-01 00:00:00+05:30",6,441,7,1.59
"2020-02-01 00:00:00+05:30",7,441,9,2.04
"2020-02-01 00:00:00+05:30",8,441,12,2.72
"2020-02-01 00:00:00+05:30",9,441,18,4.08
"2020-02-01 00:00:00+05:30",10,441,10,2.27
"2020-02-01 00:00:00+05:30",11,441,16,3.63
"2020-02-01 00:00:00+05:30",12,441,5,1.13
"2020-02-01 00:00:00+05:30",13,441,7,1.59
"2020-02-01 00:00:00+05:30",14,441,9,2.04
"2020-02-01 00:00:00+05:30",15,441,13,2.95
"2020-02-01 00:00:00+05:30",16,441,7,1.59
"2020-02-01 00:00:00+05:30",17,441,9,2.04
"2020-02-01 00:00:00+05:30",18,441,4,0.91
"2020-02-01 00:00:00+05:30",19,441,8,1.81
"2020-02-01 00:00:00+05:30",20,441,11,2.49
"2020-02-01 00:00:00+05:30",21,441,7,1.59
"2020-02-01 00:00:00+05:30",22,441,10,2.27
"2020-02-01 00:00:00+05:30",23,441,9,2.04
"2020-02-01 00:00:00+05:30",24,441,13,2.95
"2020-02-01 00:00:00+05:30",25,441,9,2.04
"2020-02-01 00:00:00+05:30",26,441,12,2.72
"2020-02-01 00:00:00+05:30",27,441,9,2.04
"2020-02-01 00:00:00+05:30",28,441,11,2.49
"2020-02-01 00:00:00+05:30",29,441,10,2.27
"2020-02-01 00:00:00+05:30",30,441,13,2.95
"2020-02-01 00:00:00+05:30",31,441,10,2.27
"2020-02-01 00:00:00+05:30",32,441,11,2.49
"2020-02-01 00:00:00+05:30",33,441,12,2.72
"2020-02-01 00:00:00+05:30",34,441,13,2.95
"2020-02-01 00:00:00+05:30",35,441,11,2.49
"2020-02-01 00:00:00+05:30",36,441,16,3.63
"2020-02-01 00:00:00+05:30",37,441,10,2.27
"2020-02-01 00:00:00+05:30",38,441,14,3.17
"2020-02-01 00:00:00+05:30",39,441,10,2.27
"2020-02-01 00:00:00+05:30",40,441,9,2.04
"2020-02-01 00:00:00+05:30",41,441,15,3.40
"2020-02-01 00:00:00+05:30",42,441,8,1.81
"2020-02-01 00:00:00+05:30",43,441,15,3.40
"2020-02-01 00:00:00+05:30",44,441,7,1.59
"2020-02-01 00:00:00+05:30",45,441,10,2.27
"2020-02-01 00:00:00+05:30",46,441,8,1.81
"2020-02-01 00:00:00+05:30",47,441,12,2.72
"2020-02-01 00:00:00+05:30",48,441,11,2.49
"2020-02-01 00:00:00+05:30",49,441,17,3.85
"2020-02-01 00:00:00+05:30",50,441,14,3.17
"2020-02-01 00:00:00+05:30",51,441,14,3.17
"2020-02-01 00:00:00+05:30",52,441,10,2.27
"2020-02-01 00:00:00+05:30",53,441,12,2.72
"2020-02-01 00:00:00+05:30",54,441,10,2.27
"2020-02-01 00:00:00+05:30",55,441,12,2.72
"2020-02-01 00:00:00+05:30",56,441,17,3.85
"2020-02-01 00:00:00+05:30",57,441,6,1.36
"2020-02-01 00:00:00+05:30",58,441,12,2.72
"2020-02-01 00:00:00+05:30",59,441,15,3.40
"2020-02-01 00:00:00+05:30",60,441,12,2.72
"2020-02-01 00:00:00+05:30",61,441,11,2.49
"2020-02-01 00:00:00+05:30",62,441,8,1.81
"2020-02-01 00:00:00+05:30",63,441,18,4.08
"2020-02-01 00:00:00+05:30",64,441,9,2.04
"2020-02-01 00:00:00+05:30",65,441,14,3.17
"2020-02-01 00:00:00+05:30",66,441,11,2.49
"2020-02-01 00:00:00+05:30",67,441,12,2.72
"2020-02-01 00:00:00+05:30",68,441,9,2.04
"2020-03-01 00:00:00+05:30",0,439,439,100.00
"2020-03-01 00:00:00+05:30",1,439,10,2.28
"2020-03-01 00:00:00+05:30",2,439,8,1.82
"2020-03-01 00:00:00+05:30",3,439,8,1.82
"2020-03-01 00:00:00+05:30",4,439,9,2.05
"2020-03-01 00:00:00+05:30",5,439,6,1.37
"2020-03-01 00:00:00+05:30",6,439,14,3.19
"2020-03-01 00:00:00+05:30",7,439,15,3.42
"2020-03-01 00:00:00+05:30",8,439,9,2.05
"2020-03-01 00:00:00+05:30",9,439,8,1.82
"2020-03-01 00:00:00+05:30",10,439,13,2.96
"2020-03-01 00:00:00+05:30",11,439,15,3.42
"2020-03-01 00:00:00+05:30",12,439,13,2.96
"2020-03-01 00:00:00+05:30",13,439,13,2.96
"2020-03-01 00:00:00+05:30",14,439,10,2.28
"2020-03-01 00:00:00+05:30",15,439,11,2.51
"2020-03-01 00:00:00+05:30",16,439,14,3.19
"2020-03-01 00:00:00+05:30",17,439,10,2.28
"2020-03-01 00:00:00+05:30",18,439,17,3.87
"2020-03-01 00:00:00+05:30",19,439,11,2.51
"2020-03-01 00:00:00+05:30",20,439,5,1.14
"2020-03-01 00:00:00+05:30",21,439,14,3.19
"2020-03-01 00:00:00+05:30",22,439,14,3.19
"2020-03-01 00:00:00+05:30",23,439,6,1.37
"2020-03-01 00:00:00+05:30",24,439,10,2.28
"2020-03-01 00:00:00+05:30",25,439,14,3.19
"2020-03-01 00:00:00+05:30",26,439,5,1.14
"2020-03-01 00:00:00+05:30",27,439,12,2.73
"2020-03-01 00:00:00+05:30",28,439,7,1.59
"2020-03-01 00:00:00+05:30",29,439,11,2.51
"2020-03-01 00:00:00+05:30",30,439,13,2.96
"2020-03-01 00:00:00+05:30",31,439,10,2.28
"2020-03-01 00:00:00+05:30",32,439,13,2.96
"2020-03-01 00:00:00+05:30",33,439,6,1.37
"2020-03-01 00:00:00+05:30",34,439,12,2.73
"2020-03-01 00:00:00+05:30",35,439,16,3.64
"2020-03-01 00:00:00+05:30",36,439,9,2.05
"2020-03-01 00:00:00+05:30",37,439,16,3.64
"2020-03-01 00:00:00+05:30",38,439,13,2.96
"2020-03-01 00:00:00+05:30",39,439,15,3.42
"2020-03-01 00:00:00+05:30",40,439,12,2.73
"2020-03-01 00:00:00+05:30",41,439,15,3.42
"2020-03-01 00:00:00+05:30",42,439,9,2.05
"2020-03-01 00:00:00+05:30",43,439,8,1.82
"2020-03-01 00:00:00+05:30",44,439,17,3.87
"2020-03-01 00:00:00+05:30",45,439,7,1.59
"2020-03-01 00:00:00+05:30",46,439,21,4.78
"2020-03-01 00:00:00+05:30",47,439,14,3.19
"2020-03-01 00:00:00+05:30",48,439,5,1.14
"2020-03-01 00:00:00+05:30",49,439,12,2.73
"2020-03-01 00:00:00+05:30",50,439,5,1.14
"2020-03-01 00:00:00+05:30",51,439,10,2.28
"2020-03-01 00:00:00+05:30",52,439,15,3.42
"2020-03-01 00:00:00+05:30",53,439,10,2.28
"2020-03-01 00:00:00+05:30",54,439,9,2.05
"2020-03-01 00:00:00+05:30",55,439,10,2.28
"2020-03-01 00:00:00+05:30",56,439,11,2.51
"2020-03-01 00:00:00+05:30",57,439,12,2.73
"2020-03-01 00:00:00+05:30",58,439,14,3.19
"2020-03-01 00:00:00+05:30",59,439,12,2.73
"2020-03-01 00:00:00+05:30",60,439,5,1.14
"2020-03-01 00:00:00+05:30",61,439,9,2.05
"2020-03-01 00:00:00+05:30",62,439,5,1.14
"2020-03-01 00:00:00+05:30",63,439,12,2.73
"2020-03-01 00:00:00+05:30",64,439,11,2.51
"2020-03-01 00:00:00+05:30",65,439,12,2.73
"2020-03-01 00:00:00+05:30",66,439,15,3.42
"2020-03-01 00:00:00+05:30",67,439,9,2.05
"2020-04-01 00:00:00+05:30",0,416,416,100.00
"2020-04-01 00:00:00+05:30",1,416,15,3.61
"2020-04-01 00:00:00+05:30",2,416,13,3.13
"2020-04-01 00:00:00+05:30",3,416,10,2.40
"2020-04-01 00:00:00+05:30",4,416,10,2.40
"2020-04-01 00:00:00+05:30",5,416,11,2.64
"2020-04-01 00:00:00+05:30",6,416,14,3.37
"2020-04-01 00:00:00+05:30",7,416,10,2.40
"2020-04-01 00:00:00+05:30",8,416,6,1.44
"2020-04-01 00:00:00+05:30",9,416,19,4.57
"2020-04-01 00:00:00+05:30",10,416,17,4.09
"2020-04-01 00:00:00+05:30",11,416,8,1.92
"2020-04-01 00:00:00+05:30",12,416,9,2.16
"2020-04-01 00:00:00+05:30",13,416,9,2.16
"2020-04-01 00:00:00+05:30",14,416,7,1.68
"2020-04-01 00:00:00+05:30",15,416,8,1.92
"2020-04-01 00:00:00+05:30",16,416,14,3.37
"2020-04-01 00:00:00+05:30",17,416,13,3.13
"2020-04-01 00:00:00+05:30",18,416,4,0.96
"2020-04-01 00:00:00+05:30",19,416,11,2.64
"2020-04-01 00:00:00+05:30",20,416,6,1.44
"2020-04-01 00:00:00+05:30",21,416,11,2.64
"2020-04-01 00:00:00+05:30",22,416,7,1.68
"2020-04-01 00:00:00+05:30",23,416,11,2.64
"2020-04-01 00:00:00+05:30",24,416,7,1.68
"2020-04-01 00:00:00+05:30",25,416,13,3.13
"2020-04-01 00:00:00+05:30",26,416,12,2.88
"2020-04-01 00:00:00+05:30",27,416,9,2.16
"2020-04-01 00:00:00+05:30",28,416,12,2.88
"2020-04-01 00:00:00+05:30",29,416,3,0.72
"2020-04-01 00:00:00+05:30",30,416,12,2.88
"2020-04-01 00:00:00+05:30",31,416,7,1.68
"2020-04-01 00:00:00+05:30",32,416,8,1.92
"2020-04-01 00:00:00+05:30",33,416,13,3.13
"2020-04-01 00:00:00+05:30",34,416,9,2.16
"2020-04-01 00:00:00+05:30",35,416,5,1.20
"2020-04-01 00:00:00+05:30",36,416,4,0.96
"2020-04-01 00:00:00+05:30",37,416,13,3.13
"2020-04-01 00:00:00+05:30",38,416,10,2.40
"2020-04-01 00:00:00+05:30",39,416,12,2.88
"2020-04-01 00:00:00+05:30",40,416,13,3.13
"2020-04-01 00:00:00+05:30",41,416,10,2.40
"2020-04-01 00:00:00+05:30",42,416,10,2.40
"2020-04-01 00:00:00+05:30",43,416,14,3.37
"2020-04-01 00:00:00+05:30",44,416,8,1.92
"2020-04-01 00:00:00+05:30",45,416,4,0.96
"2020-04-01 00:00:00+05:30",46,416,11,2.64
"2020-04-01 00:00:00+05:30",47,416,8,1.92
"2020-04-01 00:00:00+05:30",48,416,8,1.92
"2020-04-01 00:00:00+05:30",49,416,12,2.88
"2020-04-01 00:00:00+05:30",50,416,8,1.92
"2020-04-01 00:00:00+05:30",51,416,9,2.16
"2020-04-01 00:00:00+05:30",52,416,11,2.64
"2020-04-01 00:00:00+05:30",53,416,7,1.68
"2020-04-01 00:00:00+05:30",54,416,10,2.40
"2020-04-01 00:00:00+05:30",55,416,13,3.13
"2020-04-01 00:00:00+05:30",56,416,11,2.64
"2020-04-01 00:00:00+05:30",57,416,12,2.88
"2020-04-01 00:00:00+05:30",58,416,7,1.68
"2020-04-01 00:00:00+05:30",59,416,8,1.92
"2020-04-01 00:00:00+05:30",60,416,11,2.64
"2020-04-01 00:00:00+05:30",61,416,10,2.40
"2020-04-01 00:00:00+05:30",62,416,10,2.40
"2020-04-01 00:00:00+05:30",63,416,15,3.61
"2020-04-01 00:00:00+05:30",64,416,5,1.20
"2020-04-01 00:00:00+05:30",65,416,10,2.40
"2020-04-01 00:00:00+05:30",66,416,10,2.40
"2020-05-01 00:00:00+05:30",0,441,441,100.00
"2020-05-01 00:00:00+05:30",1,441,14,3.17
"2020-05-01 00:00:00+05:30",2,441,11,2.49
"2020-05-01 00:00:00+05:30",3,441,9,2.04
"2020-05-01 00:00:00+05:30",4,441,6,1.36
"2020-05-01 00:00:00+05:30",5,441,11,2.49
"2020-05-01 00:00:00+05:30",6,441,9,2.04
"2020-05-01 00:00:00+05:30",7,441,9,2.04
"2020-05-01 00:00:00+05:30",8,441,14,3.17
"2020-05-01 00:00:00+05:30",9,441,10,2.27
"2020-05-01 00:00:00+05:30",10,441,12,2.72
"2020-05-01 00:00:00+05:30",11,441,15,3.40
"2020-05-01 00:00:00+05:30",12,441,16,3.63
"2020-05-01 00:00:00+05:30",13,441,8,1.81
"2020-05-01 00:00:00+05:30",14,441,11,2.49
"2020-05-01 00:00:00+05:30",15,441,13,2.95
"2020-05-01 00:00:00+05:30",16,441,11,2.49
"2020-05-01 00:00:00+05:30",17,441,7,1.59
"2020-05-01 00:00:00+05:30",18,441,7,1.59
"2020-05-01 00:00:00+05:30",19,441,10,2.27
"2020-05-01 00:00:00+05:30",20,441,14,3.17
"2020-05-01 00:00:00+05:30",21,441,8,1.81
"2020-05-01 00:00:00+05:30",22,441,12,2.72
"2020-05-01 00:00:00+05:30",23,441,8,1.81
"2020-05-01 00:00:00+05:30",24,441,7,1.59
"2020-05-01 00:00:00+05:30",25,441,12,2.72
"2020-05-01 00:00:00+05:30",26,441,12,2.72
"2020-05-01 00:00:00+05:30",27,441,9,2.04
"2020-05-01 00:00:00+05:30",28,441,8,1.81
"2020-05-01 00:00:00+05:30",29,441,11,2.49
"2020-05-01 00:00:00+05:30",30,441,11,2.49
"2020-05-01 00:00:00+05:30",31,441,6,1.36
"2020-05-01 00:00:00+05:30",32,441,10,2.27
"2020-05-01 00:00:00+05:30",33,441,10,2.27
"2020-05-01 00:00:00+05:30",34,441,8,1.81
"2020-05-01 00:00:00+05:30",35,441,13,2.95
"2020-05-01 00:00:00+05:30",36,441,6,1.36
"2020-05-01 00:00:00+05:30",37,441,8,1.81
"2020-05-01 00:00:00+05:30",38,441,11,2.49
"2020-05-01 00:00:00+05:30",39,441,10,2.27
"2020-05-01 00:00:00+05:30",40,441,7,1.59
"2020-05-01 00:00:00+05:30",41,441,18,4.08
"2020-05-01 00:00:00+05:30",42,441,11,2.49
"2020-05-01 00:00:00+05:30",43,441,9,2.04
"2020-05-01 00:00:00+05:30",44,441,10,2.27
"2020-05-01 00:00:00+05:30",45,441,7,1.59
"2020-05-01 00:00:00+05:30",46,441,14,3.17
"2020-05-01 00:00:00+05:30",47,441,9,2.04
"2020-05-01 00:00:00+05:30",48,441,13,2.95
"2020-05-01 00:00:00+05:30",49,441,11,2.49
"2020-05-01 00:00:00+05:30",50,441,10,2.27
"2020-05-01 00:00:00+05:30",51,441,15,3.40
"2020-05-01 00:00:00+05:30",52,441,16,3.63
"2020-05-01 00:00:00+05:30",53,441,15,3.40
"2020-05-01 00:00:00+05:30",54,441,13,2.95
"2020-05-01 00:00:00+05:30",55,441,9,2.04
"2020-05-01 00:00:00+05:30",56,441,14,3.17
"2020-05-01 00:00:00+05:30",57,441,15,3.40
"2020-05-01 00:00:00+05:30",58,441,16,3.63
"2020-05-01 00:00:00+05:30",59,441,8,1.81
"2020-05-01 00:00:00+05:30",60,441,9,2.04
"2020-05-01 00:00:00+05:30",61,441,7,1.59
"2020-05-01 00:00:00+05:30",62,441,7,1.59
"2020-05-01 00:00:00+05:30",63,441,11,2.49
"2020-05-01 00:00:00+05:30",64,441,13,2.95
"2020-05-01 00:00:00+05:30",65,441,11,2.49
"2020-06-01 00:00:00+05:30",0,397,397,100.00
"2020-06-01 00:00:00+05:30",1,397,12,3.02
"2020-06-01 00:00:00+05:30",2,397,15,3.78
"2020-06-01 00:00:00+05:30",3,397,7,1.76
"2020-06-01 00:00:00+05:30",4,397,10,2.52
"2020-06-01 00:00:00+05:30",5,397,8,2.02
"2020-06-01 00:00:00+05:30",6,397,12,3.02
"2020-06-01 00:00:00+05:30",7,397,15,3.78
"2020-06-01 00:00:00+05:30",8,397,9,2.27
"2020-06-01 00:00:00+05:30",9,397,6,1.51
"2020-06-01 00:00:00+05:30",10,397,10,2.52
"2020-06-01 00:00:00+05:30",11,397,5,1.26
"2020-06-01 00:00:00+05:30",12,397,9,2.27
"2020-06-01 00:00:00+05:30",13,397,7,1.76
"2020-06-01 00:00:00+05:30",14,397,13,3.27
"2020-06-01 00:00:00+05:30",15,397,12,3.02
"2020-06-01 00:00:00+05:30",16,397,7,1.76
"2020-06-01 00:00:00+05:30",17,397,14,3.53
"2020-06-01 00:00:00+05:30",18,397,11,2.77
"2020-06-01 00:00:00+05:30",19,397,12,3.02
"2020-06-01 00:00:00+05:30",20,397,12,3.02
"2020-06-01 00:00:00+05:30",21,397,13,3.27
"2020-06-01 00:00:00+05:30",22,397,11,2.77
"2020-06-01 00:00:00+05:30",23,397,12,3.02
"2020-06-01 00:00:00+05:30",24,397,6,1.51
"2020-06-01 00:00:00+05:30",25,397,8,2.02
"2020-06-01 00:00:00+05:30",26,397,8,2.02
"2020-06-01 00:00:00+05:30",27,397,5,1.26
"2020-06-01 00:00:00+05:30",28,397,10,2.52
"2020-06-01 00:00:00+05:30",29,397,9,2.27
"2020-06-01 00:00:00+05:30",30,397,8,2.02
"2020-06-01 00:00:00+05:30",31,397,15,3.78
"2020-06-01 00:00:00+05:30",32,397,11,2.77
"2020-06-01 00:00:00+05:30",33,397,11,2.77
"2020-06-01 00:00:00+05:30",34,397,11,2.77
"2020-06-01 00:00:00+05:30",35,397,11,2.77
"2020-06-01 00:00:00+05:30",36,397,10,2.52
"2020-06-01 00:00:00+05:30",37,397,17,4.28
"2020-06-01 00:00:00+05:30",38,397,11,2.77
"2020-06-01 00:00:00+05:30",39,397,14,3.53
"2020-06-01 00:00:00+05:30",40,397,13,3.27
"2020-06-01 00:00:00+05:30",41,397,7,1.76
"2020-06-01 00:00:00+05:30",42,397,14,3.53
"2020-06-01 00:00:00+05:30",43,397,14,3.53
"2020-06-01 00:00:00+05:30",44,397,11,2.77
"2020-06-01 00:00:00+05:30",45,397,8,2.02
"2020-06-01 00:00:00+05:30",46,397,5,1.26
"2020-06-01 00:00:00+05:30",47,397,9,2.27
"2020-06-01 00:00:00+05:30",48,397,5,1.26
"2020-06-01 00:00:00+05:30",49,397,9,2.27
"2020-06-01 00:00:00+05:30",50,397,8,2.02
"2020-06-01 00:00:00+05:30",51,397,9,2.27
"2020-06-01 00:00:00+05:30",52,397,8,2.02
"2020-06-01 00:00:00+05:30",53,397,10,2.52
"2020-06-01 00:00:00+05:30",54,397,8,2.02
"2020-06-01 00:00:00+05:30",55,397,10,2.52
"2020-06-01 00:00:00+05:30",56,397,8,2.02
"2020-06-01 00:00:00+05:30",57,397,13,3.27
"2020-06-01 00:00:00+05:30",58,397,16,4.03
"2020-06-01 00:00:00+05:30",59,397,8,2.02
"2020-06-01 00:00:00+05:30",60,397,9,2.27
"2020-06-01 00:00:00+05:30",61,397,8,2.02
"2020-06-01 00:00:00+05:30",62,397,10,2.52
"2020-06-01 00:00:00+05:30",63,397,16,4.03
"2020-06-01 00:00:00+05:30",64,397,14,3.53
"2020-07-01 00:00:00+05:30",0,381,381,100.00
"2020-07-01 00:00:00+05:30",1,381,6,1.57
"2020-07-01 00:00:00+05:30",2,381,6,1.57
"2020-07-01 00:00:00+05:30",3,381,10,2.62
"2020-07-01 00:00:00+05:30",4,381,13,3.41
"2020-07-01 00:00:00+05:30",5,381,13,3.41
"2020-07-01 00:00:00+05:30",6,381,7,1.84
"2020-07-01 00:00:00+05:30",7,381,12,3.15
"2020-07-01 00:00:00+05:30",8,381,8,2.10
"2020-07-01 00:00:00+05:30",9,381,8,2.10
"2020-07-01 00:00:00+05:30",10,381,14,3.67
"2020-07-01 00:00:00+05:30",11,381,4,1.05
"2020-07-01 00:00:00+05:30",12,381,10,2.62
"2020-07-01 00:00:00+05:30",13,381,6,1.57
"2020-07-01 00:00:00+05:30",14,381,5,1.31
"2020-07-01 00:00:00+05:30",15,381,15,3.94
"2020-07-01 00:00:00+05:30",16,381,12,3.15
"2020-07-01 00:00:00+05:30",17,381,13,3.41
"2020-07-01 00:00:00+05:30",18,381,7,1.84
"2020-07-01 00:00:00+05:30",19,381,8,2.10
"2020-07-01 00:00:00+05:30",20,381,7,1.84
"2020-07-01 00:00:00+05:30",21,381,10,2.62
"2020-07-01 00:00:00+05:30",22,381,6,1.57
"2020-07-01 00:00:00+05:30",23,381,10,2.62
"2020-07-01 00:00:00+05:30",24,381,7,1.84
"2020-07-01 00:00:00+05:30",25,381,10,2.62
"2020-07-01 00:00:00+05:30",26,381,10,2.62
"2020-07-01 00:00:00+05:30",27,381,7,1.84
"2020-07-01 00:00:00+05:30",28,381,6,1.57
"2020-07-01 00:00:00+05:30",29,381,10,2.62
"2020-07-01 00:00:00+05:30",30,381,7,1.84
"2020-07-01 00:00:00+05:30",31,381,5,1.31
"2020-07-01 00:00:00+05:30",32,381,9,2.36
"2020-07-01 00:00:00+05:30",33,381,7,1.84
"2020-07-01 00:00:00+05:30",34,381,7,1.84
"2020-07-01 00:00:00+05:30",35,381,7,1.84
"2020-07-01 00:00:00+05:30",36,381,12,3.15
"2020-07-01 00:00:00+05:30",37,381,8,2.10
"2020-07-01 00:00:00+05:30",38,381,12,3.15
"2020-07-01 00:00:00+05:30",39,381,9,2.36
"2020-07-01 00:00:00+05:30",40,381,5,1.31
"2020-07-01 00:00:00+05:30",41,381,8,2.10
"2020-07-01 00:00:00+05:30",42,381,11,2.89
"2020-07-01 00:00:00+05:30",43,381,10,2.62
"2020-07-01 00:00:00+05:30",44,381,15,3.94
"2020-07-01 00:00:00+05:30",45,381,11,2.89
"2020-07-01 00:00:00+05:30",46,381,4,1.05
"2020-07-01 00:00:00+05:30",47,381,8,2.10
"2020-07-01 00:00:00+05:30",48,381,11,2.89
"2020-07-01 00:00:00+05:30",49,381,3,0.79
"2020-07-01 00:00:00+05:30",50,381,9,2.36
"2020-07-01 00:00:00+05:30",51,381,10,2.62
"2020-07-01 00:00:00+05:30",52,381,8,2.10
"2020-07-01 00:00:00+05:30",53,381,14,3.67
"2020-07-01 00:00:00+05:30",54,381,6,1.57
"2020-07-01 00:00:00+05:30",55,381,8,2.10
"2020-07-01 00:00:00+05:30",56,381,16,4.20
"2020-07-01 00:00:00+05:30",57,381,10,2.62
"2020-07-01 00:00:00+05:30",58,381,16,4.20
"2020-07-01 00:00:00+05:30",59,381,10,2.62
"2020-07-01 00:00:00+05:30",60,381,12,3.15
"2020-07-01 00:00:00+05:30",61,381,14,3.67
"2020-07-01 00:00:00+05:30",62,381,8,2.10
"2020-07-01 00:00:00+05:30",63,381,11,2.89
"2020-08-01 00:00:00+05:30",0,399,399,100.00
"2020-08-01 00:00:00+05:30",1,399,11,2.76
"2020-08-01 00:00:00+05:30",2,399,14,3.51
"2020-08-01 00:00:00+05:30",3,399,12,3.01
"2020-08-01 00:00:00+05:30",4,399,3,0.75
"2020-08-01 00:00:00+05:30",5,399,8,2.01
"2020-08-01 00:00:00+05:30",6,399,7,1.75
"2020-08-01 00:00:00+05:30",7,399,9,2.26
"2020-08-01 00:00:00+05:30",8,399,9,2.26
"2020-08-01 00:00:00+05:30",9,399,11,2.76
"2020-08-01 00:00:00+05:30",10,399,11,2.76
"2020-08-01 00:00:00+05:30",11,399,9,2.26
"2020-08-01 00:00:00+05:30",12,399,8,2.01
"2020-08-01 00:00:00+05:30",13,399,13,3.26
"2020-08-01 00:00:00+05:30",14,399,14,3.51
"2020-08-01 00:00:00+05:30",15,399,10,2.51
"2020-08-01 00:00:00+05:30",16,399,8,2.01
"2020-08-01 00:00:00+05:30",17,399,6,1.50
"2020-08-01 00:00:00+05:30",18,399,8,2.01
"2020-08-01 00:00:00+05:30",19,399,6,1.50
"2020-08-01 00:00:00+05:30",20,399,13,3.26
"2020-08-01 00:00:00+05:30",21,399,8,2.01
"2020-08-01 00:00:00+05:30",22,399,4,1.00
"2020-08-01 00:00:00+05:30",23,399,11,2.76
"2020-08-01 00:00:00+05:30",24,399,8,2.01
"2020-08-01 00:00:00+05:30",25,399,10,2.51
"2020-08-01 00:00:00+05:30",26,399,10,2.51
"2020-08-01 00:00:00+05:30",27,399,4,1.00
