"product_id","product_name","product_category","total_reviews","avg_rating","min_rating","max_rating","total_orders","total_quantity_sold","total_revenue","rating_segment"
30,"Smartwatch PeachPuff 280","Electronics",0,NULL,NULL,NULL,4,8,4607.28,"No Reviews"
31,"Mouse DarkTurquoise 596","Electronics",6,4.00,2,5,39,45,7299.90,"Good"
32,"Mouse Yellow 529","Electronics",1,4.00,4,4,27,43,7730.11,"Good"
33,"SSD DarkOrchid 228","Electronics",0,NULL,NULL,NULL,2,2,755.18,"No Reviews"
34,"Headphones Linen 995","Electronics",2,4.50,4,5,15,16,4644.64,"Good"
35,"Smartwatch Gainsboro 593","Electronics",2,4.50,4,5,11,11,2825.90,"Good"
36,"Smartwatch DarkKhaki 313","Electronics",23,4.09,2,5,80,96,6286.08,"Good"
37,"Speaker Gold 153","Electronics",11,3.91,2,5,50,63,7718.13,"Average"
38,"Keyboard Navy 203","Electronics",20,4.00,2,5,80,124,3736.12,"Good"
39,"SSD DarkGray 312","Electronics",0,NULL,NULL,NULL,5,5,1899.15,"No Reviews"
40,"Smartwatch Coral 455","Electronics",8,4.00,3,5,49,65,7453.55,"Good"
41,"SSD Chocolate 599","Electronics",0,NULL,NULL,NULL,8,10,3002.70,"No Reviews"
42,"Speaker GreenYellow 247","Electronics",3,3.00,1,4,7,10,3038.30,"Average"
43,"Keyboard SpringGreen 590","Electronics",0,NULL,NULL,NULL,7,10,4573.10,"No Reviews"
44,"Mouse White 640","Electronics",2,4.50,4,5,8,11,3567.41,"Good"
45,"SSD Pink 127","Electronics",11,4.00,3,5,51,65,7381.40,"Good"
46,"Monitor Maroon 812","Electronics",0,NULL,NULL,NULL,5,7,4114.25,"No Reviews"
47,"Monitor SeaGreen 464","Electronics",1,2.00,2,2,11,15,4882.35,"Needs Attention"
48,"Webcam SaddleBrown 437","Electronics",2,3.00,1,5,7,11,3669.38,"Average"
49,"Webcam MistyRose 876","Electronics",2,4.00,4,4,9,13,4934.02,"Good"
50,"Webcam Lime 857","Electronics",2,5.00,5,5,5,6,2936.76,"Good"
51,"Webcam LightBlue 848","Electronics",9,3.89,2,5,43,64,9212.80,"Average"
52,"Headphones Gainsboro 583","Electronics",2,4.00,4,4,3,3,1782.21,"Good"
53,"Monitor LemonChiffon 452","Electronics",6,5.00,5,5,45,53,7440.14,"Highly Rated"
54,"Speaker Cyan 457","Electronics",0,NULL,NULL,NULL,5,5,2454.40,"No Reviews"
55,"SSD Lime 581","Electronics",12,3.33,2,5,69,93,7059.63,"Average"
56,"Webcam Violet 724","Electronics",3,4.00,3,5,20,26,5785.26,"Good"
57,"Headphones Snow 918","Electronics",6,3.67,2,5,8,9,2729.70,"Average"
58,"Keyboard MediumSpringGreen 497","Electronics",1,4.00,4,4,3,3,1517.25,"Good"
59,"Webcam RosyBrown 908","Electronics",0,NULL,NULL,NULL,1,1,302.48,"No Reviews"
60,"SSD LightSlateGray 839","Electronics",12,4.42,3,5,60,78,6197.10,"Good"
61,"Smartwatch Cornsilk 186","Electronics",0,NULL,NULL,NULL,4,5,1470.00,"No Reviews"
62,"Mouse DarkOrchid 254","Electronics",4,3.50,2,5,38,49,6218.10,"Average"
63,"Speaker Thistle 946","Electronics",0,NULL,NULL,NULL,6,7,3427.97,"No Reviews"
64,"Speaker PeachPuff 661","Electronics",1,5.00,5,5,3,3,1213.92,"Good"
65,"Mouse FireBrick 843","Electronics",14,3.71,2,5,78,110,4642.00,"Average"
66,"Keyboard MediumSpringGreen 544","Electronics",1,3.00,3,3,7,13,4291.95,"Average"
67,"Webcam DeepPink 357","Electronics",1,5.00,5,5,6,7,3506.37,"Good"
68,"Webcam SlateGray 700","Electronics",2,3.50,3,4,25,41,8076.59,"Average"
69,"SSD PeachPuff 234","Electronics",11,3.55,1,5,39,45,8002.80,"Average"
70,"Headphones BlueViolet 569","Electronics",0,NULL,NULL,NULL,4,4,2194.84,"No Reviews"
71,"Smartwatch Crimson 233","Electronics",0,NULL,NULL,NULL,1,1,501.47,"No Reviews"
72,"Mouse Maroon 550","Electronics",1,5.00,5,5,10,13,4269.20,"Good"
73,"Mouse MediumSpringGreen 253","Electronics",1,5.00,5,5,7,10,3768.80,"Good"
74,"Mouse MediumVioletRed 223","Electronics",8,4.38,3,5,44,56,6198.64,"Good"
75,"Headphones SpringGreen 668","Electronics",2,2.50,2,3,20,20,4316.20,"Needs Attention"
76,"Speaker SaddleBrown 673","Electronics",0,NULL,NULL,NULL,7,7,3339.28,"No Reviews"
77,"Headphones CornflowerBlue 890","Electronics",7,3.43,2,5,30,38,6522.32,"Average"
78,"Keyboard DarkGoldenRod 878","Electronics",1,5.00,5,5,5,5,1597.00,"Good"
79,"Keyboard LightPink 617","Electronics",2,4.00,4,4,16,16,4522.40,"Good"
80,"Webcam Sienna 646","Electronics",0,NULL,NULL,NULL,3,3,1274.58,"No Reviews"
81,"Speaker Coral 635","Electronics",0,NULL,NULL,NULL,4,5,1597.10,"No Reviews"
82,"Monitor Chocolate 307","Electronics",0,NULL,NULL,NULL,3,5,2779.95,"No Reviews"
83,"Speaker Magenta 552","Electronics",6,4.00,1,5,47,54,5841.18,"Good"
84,"SSD RosyBrown 174","Electronics",11,4.09,1,5,68,79,5636.65,"Good"
85,"Webcam LightSkyBlue 895","Electronics",1,5.00,5,5,5,5,2058.00,"Good"
86,"Mouse OliveDrab 474","Electronics",0,NULL,NULL,NULL,3,3,1696.56,"No Reviews"
87,"Mouse MediumTurquoise 578","Electronics",4,4.00,1,5,37,47,8190.69,"Good"
88,"Webcam Beige 598","Electronics",3,3.33,3,4,4,4,1822.44,"Average"
89,"Mouse SandyBrown 265","Electronics",1,2.00,2,2,5,10,5942.30,"Needs Attention"
90,"Smartwatch MidnightBlue 531","Electronics",1,4.00,4,4,4,6,3579.72,"Good"
91,"Webcam FloralWhite 474","Electronics",8,4.00,3,5,22,23,5365.21,"Good"
92,"Headphones DarkOrange 820","Electronics",4,3.50,2,5,14,23,5120.95,"Average"
93,"Headphones Snow 402","Electronics",4,3.50,1,5,19,24,5977.92,"Average"
94,"Keyboard Chocolate 334","Electronics",15,3.73,1,5,63,86,8111.52,"Average"
95,"Keyboard IndianRed 897","Electronics",11,3.73,2,5,59,85,6622.35,"Average"
96,"Mouse LightSlateGray 532","Electronics",6,3.17,1,4,18,26,4787.90,"Average"
97,"Monitor DarkSeaGreen 627","Electronics",2,4.00,4,4,8,11,2875.29,"Good"
98,"Speaker LightBlue 158","Electronics",1,4.00,4,4,5,7,3004.68,"Good"
99,"Mouse Orchid 117","Electronics",0,NULL,NULL,NULL,2,2,544.86,"No Reviews"
100,"Keyboard OrangeRed 976","Electronics",4,4.75,4,5,10,10,4869.30,"Good"
101,"Webcam SpringGreen 564","Electronics",14,4.07,2,5,80,90,6117.30,"Good"
102,"Headphones Cyan 374","Electronics",0,NULL,NULL,NULL,17,20,4466.40,"No Reviews"
103,"Mouse FireBrick 212","Electronics",16,4.06,3,5,72,97,5299.11,"Good"
104,"Mouse RosyBrown 419","Electronics",7,3.57,3,5,37,55,9860.40,"Average"
105,"Monitor PaleGoldenRod 556","Electronics",2,2.50,2,3,5,7,2329.04,"Needs Attention"
106,"Mouse LightSeaGreen 356","Electronics",2,4.00,3,5,22,28,5157.60,"Good"
107,"Headphones DarkSlateGray 664","Electronics",16,4.38,3,5,76,96,3720.00,"Good"
108,"Webcam Plum 557","Electronics",0,NULL,NULL,NULL,6,6,1938.66,"No Reviews"
109,"Keyboard LightSeaGreen 772","Electronics",2,4.50,4,5,4,4,1620.96,"Good"
110,"Speaker PapayaWhip 618","Electronics",0,NULL,NULL,NULL,2,2,682.34,"No Reviews"
111,"Monitor MintCream 450","Electronics",5,4.20,3,5,10,13,5486.13,"Good"
112,"Webcam Olive 751","Electronics",2,4.50,4,5,6,9,4539.60,"Good"
113,"Mouse Lavender 155","Electronics",1,2.00,2,2,14,19,4952.92,"Needs Attention"
114,"Mouse DeepPink 361","Electronics",15,4.00,2,5,62,71,2707.23,"Good"
115,"Smartwatch DarkBlue 961","Electronics",10,3.90,2,5,49,64,7875.20,"Average"
116,"Smartwatch Fuchsia 388","Electronics",1,4.00,4,4,4,4,2104.84,"Good"
117,"Webcam DeepPink 289","Electronics",2,3.50,2,5,6,11,4673.13,"Average"
118,"Mouse Lavender 472","Electronics",7,3.43,3,5,25,33,6050.55,"Average"
119,"SSD Lavender 350","Electronics",2,2.50,1,4,6,6,3506.40,"Needs Attention"
120,"Headphones Aquamarine 465","Electronics",0,NULL,NULL,NULL,8,16,9286.88,"No Reviews"
121,"Mouse SlateBlue 586","Electronics",15,3.00,1,5,97,135,4132.35,"Average"
122,"Monitor Gainsboro 616","Electronics",0,NULL,NULL,NULL,6,11,3482.38,"No Reviews"
123,"Headphones LightGray 247","Electronics",14,4.21,3,5,62,86,7033.94,"Good"
124,"Smartwatch LightSkyBlue 406","Electronics",0,NULL,NULL,NULL,6,7,2551.36,"No Reviews"
125,"Monitor AntiqueWhite 641","Electronics",1,1.00,1,1,4,4,1555.64,"Needs Attention"
126,"Mouse DarkViolet 710","Electronics",0,NULL,NULL,NULL,4,4,1619.20,"No Reviews"
127,"Smartwatch PeachPuff 606","Electronics",0,NULL,NULL,NULL,7,7,3259.62,"No Reviews"
128,"Mouse White 248","Electronics",7,3.71,1,5,25,30,5759.40,"Average"
129,"Headphones NavajoWhite 625","Electronics",2,3.00,1,5,4,7,3501.19,"Average"
130,"Smartwatch MediumAquaMarine 242","Electronics",0,NULL,NULL,NULL,0,0,0,"No Reviews"
131,"Headphones DarkSalmon 828","Electronics",1,1.00,1,1,5,5,2505.25,"Needs Attention"
132,"Webcam Thistle 752","Electronics",10,3.80,2,5,58,72,5652.00,"Average"
133,"SSD CadetBlue 562","Electronics",2,3.50,3,4,5,5,2884.60,"Average"
134,"Headphones SaddleBrown 797","Electronics",1,5.00,5,5,4,6,2326.98,"Good"
135,"Webcam OrangeRed 916","Electronics",1,5.00,5,5,5,5,1544.50,"Good"
136,"Keyboard Orchid 648","Electronics",1,3.00,3,3,5,8,3652.08,"Average"
137,"Keyboard PaleGoldenRod 854","Electronics",2,4.50,4,5,5,5,2029.00,"Good"
138,"Speaker OrangeRed 371","Electronics",8,4.13,1,5,31,37,6428.75,"Good"
139,"Webcam DarkKhaki 857","Electronics",2,3.00,3,3,7,10,4457.20,"Average"
140,"Speaker SkyBlue 590","Electronics",1,5.00,5,5,3,3,934.65,"Good"
141,"Monitor PaleGoldenRod 758","Electronics",0,NULL,NULL,NULL,3,3,1401.51,"No Reviews"
142,"Webcam Chocolate 360","Electronics",19,3.79,3,5,78,94,6971.04,"Average"
143,"Monitor Gold 593","Electronics",0,NULL,NULL,NULL,6,6,2304.36,"No Reviews"
144,"Headphones CornflowerBlue 201","Electronics",0,NULL,NULL,NULL,5,11,3375.90,"No Reviews"
145,"Webcam HoneyDew 628","Electronics",1,4.00,4,4,7,9,3736.35,"Good"
146,"Monitor Purple 221","Electronics",1,4.00,4,4,2,2,589.72,"Good"
147,"Webcam DodgerBlue 584","Electronics",5,3.80,2,5,19,25,5191.25,"Average"
148,"Headphones DarkOliveGreen 618","Electronics",6,3.50,1,5,28,33,6437.31,"Average"
149,"Speaker MediumSpringGreen 315","Electronics",0,NULL,NULL,NULL,6,6,3579.36,"No Reviews"
150,"Keyboard CadetBlue 636","Electronics",1,4.00,4,4,3,3,1084.32,"Good"
151,"Monitor DarkKhaki 939","Electronics",2,3.50,3,4,6,11,6303.66,"Average"
152,"Monitor AliceBlue 336","Electronics",0,NULL,NULL,NULL,0,0,0,"No Reviews"
153,"Speaker DeepPink 125","Electronics",0,NULL,NULL,NULL,5,5,2708.45,"No Reviews"
154,"Mouse WhiteSmoke 561","Electronics",9,3.22,1,5,96,122,3910.10,"Average"
155,"Smartwatch DarkGreen 452","Electronics",10,3.80,2,5,27,33,6669.63,"Average"
156,"Smartwatch Moccasin 101","Electronics",9,4.44,3,5,26,41,8616.56,"Good"
157,"SSD Bisque 222","Electronics",2,4.00,4,4,3,3,1373.76,"Good"
158,"Webcam Cornsilk 396","Electronics",1,2.00,2,2,3,5,2182.10,"Needs Attention"
159,"Monitor HoneyDew 990","Electronics",3,1.67,1,2,10,15,3632.55,"Needs Attention"
160,"Keyboard OldLace 381","Electronics",4,3.50,1,5,16,26,6125.60,"Average"
161,"Headphones DeepPink 777","Electronics",4,4.00,3,5,25,26,4938.96,"Good"
162,"Monitor LightCoral 372","Electronics",2,2.00,1,3,4,4,1567.72,"Needs Attention"
163,"Smartwatch MediumTurquoise 482","Electronics",2,4.50,4,5,4,7,2248.75,"Good"
164,"Smartwatch Moccasin 746","Electronics",2,4.50,4,5,3,5,2670.15,"Good"
165,"Smartwatch Sienna 662","Electronics",0,NULL,NULL,NULL,4,9,4955.85,"No Reviews"
166,"Webcam DarkRed 849","Electronics",1,5.00,5,5,4,4,1760.64,"Good"
167,"Smartwatch DarkOrange 759","Electronics",2,4.00,3,5,7,10,2869.90,"Good"
168,"Monitor SlateBlue 663","Electronics",1,4.00,4,4,7,8,2454.24,"Good"
169,"Mouse SeaGreen 388","Electronics",8,3.75,2,5,43,50,6366.50,"Average"
170,"Monitor Silver 768","Electronics",4,3.50,3,4,29,30,5273.10,"Average"
171,"Monitor SkyBlue 594","Electronics",2,1.00,1,1,9,13,3400.02,"Needs Attention"
172,"Lamp Magenta 758","Home & Kitchen",5,4.20,3,5,18,30,5115.90,"Good"
173,"Coffee Maker DarkBlue 931","Home & Kitchen",20,3.60,1,5,94,123,3448.92,"Average"
174,"Vacuum DarkTurquoise 440","Home & Kitchen",9,3.78,1,5,26,36,5115.24,"Average"
175,"Toaster DarkKhaki 297","Home & Kitchen",7,4.71,4,5,33,42,4955.58,"Highly Rated"
176,"Coffee Maker MediumSpringGreen 193","Home & Kitchen",18,3.56,1,5,89,117,3717.09,"Average"
177,"Air Fryer LightGray 683","Home & Kitchen",12,4.42,2,5,61,87,5862.93,"Good"
178,"Coffee Maker Silver 522","Home & Kitchen",4,3.50,3,5,19,21,4681.74,"Average"
179,"Vacuum DodgerBlue 485","Home & Kitchen",4,3.25,1,5,40,46,5029.18,"Average"
180,"Air Fryer Tomato 384","Home & Kitchen",3,4.00,3,5,36,56,5105.52,"Good"
181,"Lamp Beige 615","Home & Kitchen",3,4.67,4,5,12,12,2906.88,"Good"
182,"Lamp GreenYellow 321","Home & Kitchen",4,3.50,2,5,33,41,6605.51,"Average"
183,"Blender Wheat 509","Home & Kitchen",9,3.56,1,5,49,59,4427.95,"Average"
184,"Cookware MistyRose 969","Home & Kitchen",4,4.50,4,5,30,37,4329.37,"Good"
185,"Toaster DarkViolet 133","Home & Kitchen",1,4.00,4,4,11,18,3950.82,"Good"
186,"Vacuum YellowGreen 584","Home & Kitchen",1,2.00,2,2,20,29,5228.12,"Needs Attention"
187,"Lamp Bisque 945","Home & Kitchen",5,4.00,3,5,33,49,6250.44,"Good"
188,"Lamp Wheat 354","Home & Kitchen",1,3.00,3,3,14,17,3660.27,"Average"
189,"Toaster Lime 634","Home & Kitchen",13,4.46,3,5,62,93,3363.81,"Good"
190,"Cookware DarkGoldenRod 817","Home & Kitchen",13,3.46,2,5,67,84,3034.92,"Average"
191,"Cookware LightGoldenRodYellow 187","Home & Kitchen",3,3.33,3,4,16,26,5542.16,"Average"
192,"Lamp Tomato 228","Home & Kitchen",0,NULL,NULL,NULL,28,37,7268.65,"No Reviews"
193,"Coffee Maker Moccasin 832","Home & Kitchen",8,4.63,4,5,33,33,4839.45,"Highly Rated"
194,"Air Fryer FireBrick 640","Home & Kitchen",2,4.50,4,5,12,16,3855.68,"Good"
195,"Cookware MintCream 201","Home & Kitchen",10,4.20,2,5,43,56,6438.88,"Good"
196,"Blender Ivory 296","Home & Kitchen",15,4.00,1,5,53,67,5499.36,"Good"
197,"Vacuum White 101","Home & Kitchen",4,4.00,3,5,46,63,4574.43,"Good"
198,"Blender Yellow 385","Home & Kitchen",5,3.80,2,5,31,40,5559.60,"Average"
199,"Air Fryer SteelBlue 586","Home & Kitchen",5,3.40,2,5,23,32,5270.40,"Average"
200,"Lamp MediumPurple 521","Home & Kitchen",10,3.30,1,5,47,55,3648.70,"Average"
201,"Cookware Ivory 298","Home & Kitchen",6,4.83,4,5,29,44,7300.48,"Highly Rated"
202,"Vacuum GoldenRod 183","Home & Kitchen",0,NULL,NULL,NULL,12,12,2668.32,"No Reviews"
203,"Air Fryer LawnGreen 479","Home & Kitchen",9,4.56,3,5,53,66,4268.88,"Highly Rated"
204,"Coffee Maker PaleGoldenRod 835","Home & Kitchen",7,3.86,2,5,37,52,6672.12,"Average"
205,"Vacuum Khaki 106","Home & Kitchen",6,3.00,1,4,56,64,6205.44,"Average"
206,"Toaster Green 169","Home & Kitchen",13,4.00,1,5,57,78,6248.58,"Good"
207,"Coffee Maker Tomato 884","Home & Kitchen",5,4.60,3,5,27,27,3482.19,"Highly Rated"
208,"Toaster Snow 371","Home & Kitchen",15,3.67,1,5,63,82,4636.28,"Average"
209,"Toaster MintCream 738","Home & Kitchen",3,3.33,3,4,12,12,2681.28,"Average"
210,"Vacuum Black 596","Home & Kitchen",7,4.29,3,5,34,49,7664.58,"Good"
211,"Vacuum Black 709","Home & Kitchen",1,4.00,4,4,12,14,3199.00,"Good"
212,"Coffee Maker LightSeaGreen 124","Home & Kitchen",3,4.00,3,5,11,12,2775.12,"Good"
213,"Lamp SeaShell 161","Home & Kitchen",14,3.93,2,5,69,91,4009.46,"Average"
214,"Coffee Maker LightGoldenRodYellow 421","Home & Kitchen",4,4.25,3,5,42,52,5428.80,"Good"
215,"Cookware GoldenRod 269","Home & Kitchen",16,4.00,2,5,94,125,4646.25,"Good"
216,"Air Fryer MediumTurquoise 637","Home & Kitchen",14,3.93,2,5,65,73,4070.48,"Average"
217,"Cookware RosyBrown 842","Home & Kitchen",9,4.11,2,5,39,50,6111.50,"Good"
218,"Vacuum MediumVioletRed 553","Home & Kitchen",2,4.00,4,4,16,17,3593.63,"Good"
219,"Coffee Maker Moccasin 182","Home & Kitchen",18,3.61,2,5,82,100,3615.00,"Average"
220,"Air Fryer Cyan 674","Home & Kitchen",6,3.67,2,5,47,65,7204.60,"Average"
221,"Toaster Indigo 941","Home & Kitchen",7,4.86,4,5,51,62,3706.36,"Highly Rated"
222,"Air Fryer DarkKhaki 150","Home & Kitchen",0,NULL,NULL,NULL,10,15,3109.20,"No Reviews"
223,"Cookware Khaki 557","Home & Kitchen",6,4.50,4,5,45,62,7665.06,"Highly Rated"
224,"Coffee Maker SeaShell 585","Home & Kitchen",3,4.67,4,5,41,52,4554.68,"Good"
225,"Blender Gray 740","Home & Kitchen",6,3.67,1,5,36,48,7756.80,"Average"
226,"Toaster MediumSlateBlue 575","Home & Kitchen",10,4.00,1,5,52,67,7179.05,"Good"
227,"Blender GreenYellow 299","Home & Kitchen",0,NULL,NULL,NULL,14,20,4056.00,"No Reviews"
228,"Cookware SkyBlue 471","Home & Kitchen",19,3.95,2,5,95,126,3160.08,"Average"
229,"Air Fryer AliceBlue 144","Home & Kitchen",3,4.33,4,5,39,54,4881.06,"Good"
230,"Air Fryer Silver 382","Home & Kitchen",3,4.33,3,5,16,23,4350.45,"Good"
231,"Air Fryer MediumTurquoise 924","Home & Kitchen",18,4.11,3,5,108,139,1516.49,"Good"
232,"Cookware DarkBlue 945","Home & Kitchen",5,3.80,3,5,21,27,6403.32,"Average"
233,"Coffee Maker DarkOrchid 576","Home & Kitchen",11,3.91,1,5,78,98,3502.52,"Average"
234,"Toaster Orange 540","Home & Kitchen",8,3.75,1,5,51,74,7604.24,"Average"
235,"Toaster Green 287","Home & Kitchen",4,4.50,4,5,33,39,5008.77,"Good"
236,"Blender Silver 942","Home & Kitchen",6,3.50,1,5,20,21,4255.02,"Average"
237,"Cookware Fuchsia 435","Home & Kitchen",1,5.00,5,5,17,20,3909.40,"Good"
238,"Toaster PowderBlue 901","Home & Kitchen",7,3.71,3,5,44,53,4594.57,"Average"
239,"Lamp MediumSeaGreen 870","Home & Kitchen",14,3.64,1,5,87,107,3098.72,"Average"
240,"Coffee Maker DarkCyan 134","Home & Kitchen",11,3.91,2,5,57,77,5339.95,"Average"
241,"Vacuum Orchid 536","Home & Kitchen",8,4.50,3,5,37,47,6703.14,"Highly Rated"
242,"Blender SandyBrown 186","Home & Kitchen",2,5.00,5,5,9,9,2223.72,"Good"
243,"Coffee Maker PaleGoldenRod 826","Home & Kitchen",8,3.00,1,5,100,129,4275.06,"Average"
244,"Vacuum DarkBlue 571","Home & Kitchen",13,3.69,1,5,61,75,3867.75,"Average"
245,"Lamp DimGray 651","Home & Kitchen",3,4.33,3,5,21,26,5821.40,"Good"
246,"Toaster FloralWhite 898","Home & Kitchen",5,4.20,2,5,18,20,3914.60,"Good"
247,"Toaster DarkSalmon 374","Home & Kitchen",7,3.00,1,5,47,57,4590.78,"Average"
248,"Air Fryer Black 549","Home & Kitchen",14,3.43,2,5,53,76,5393.72,"Average"
249,"Coffee Maker DeepPink 388","Home & Kitchen",14,3.29,1,5,70,83,4530.14,"Average"
250,"Lamp SeaGreen 357","Home & Kitchen",17,3.88,1,5,82,109,6014.62,"Average"
251,"Coffee Maker DarkViolet 927","Home & Kitchen",5,4.00,1,5,34,41,5402.16,"Good"
252,"Blender Sienna 204","Home & Kitchen",2,5.00,5,5,24,34,5671.20,"Good"
253,"Blender MediumVioletRed 960","Home & Kitchen",9,4.22,2,5,43,51,6320.94,"Good"
254,"Vacuum DeepSkyBlue 400","Home & Kitchen",5,4.20,3,5,15,23,5277.35,"Good"
255,"Coffee Maker DarkSeaGreen 947","Home & Kitchen",12,4.25,2,5,69,96,3706.56,"Good"
256,"Lamp Beige 624","Home & Kitchen",9,3.78,1,5,61,74,4188.40,"Average"
257,"Toaster Aquamarine 893","Home & Kitchen",7,3.00,1,4,63,93,4897.38,"Average"
258,"Toaster DarkKhaki 752","Home & Kitchen",6,4.67,4,5,25,36,6103.44,"Highly Rated"
259,"Lamp Violet 138","Home & Kitchen",5,3.60,1,5,21,28,5049.24,"Average"
260,"Air Fryer DarkSlateGray 361","Home & Kitchen",12,3.83,2,5,36,52,4763.20,"Average"
261,"Blender PowderBlue 308","Home & Kitchen",6,4.33,3,5,26,38,5846.68,"Good"
262,"Toaster GoldenRod 794","Home & Kitchen",19,3.89,1,5,91,122,1553.06,"Average"
263,"Air Fryer HotPink 308","Home & Kitchen",19,3.84,2,5,80,109,5932.87,"Average"
264,"Blender Black 164","Home & Kitchen",3,4.00,3,5,25,28,5624.36,"Good"
265,"Vacuum LightCoral 663","Home & Kitchen",20,3.95,1,5,110,157,5389.81,"Average"
266,"Coffee Maker HotPink 267","Home & Kitchen",6,4.17,3,5,19,31,5065.40,"Good"
267,"Vacuum LightSteelBlue 390","Home & Kitchen",4,4.25,4,5,23,25,4422.50,"Good"
268,"Cookware SteelBlue 419","Home & Kitchen",8,4.25,2,5,49,60,5029.20,"Good"
269,"Cookware LawnGreen 526","Home & Kitchen",2,4.50,4,5,20,27,3940.92,"Good"
270,"Blender MediumOrchid 472","Home & Kitchen",3,3.67,2,5,15,19,4130.98,"Average"
271,"Cookware LightGoldenRodYellow 308","Home & Kitchen",13,4.00,3,5,66,98,5618.34,"Good"
272,"Blender YellowGreen 216","Home & Kitchen",3,3.67,3,4,44,54,6166.80,"Average"
273,"Toaster PeachPuff 473","Home & Kitchen",10,4.10,3,5,86,101,3203.72,"Good"
274,"Vacuum DarkSeaGreen 152","Home & Kitchen",0,NULL,NULL,NULL,19,25,4888.25,"No Reviews"
275,"Lamp Chocolate 506","Home & Kitchen",19,3.53,1,5,81,97,4287.40,"Average"
276,"Blender MidnightBlue 854","Home & Kitchen",5,4.20,3,5,35,43,6342.07,"Good"
277,"Lamp Salmon 265","Home & Kitchen",12,3.67,2,5,78,115,5888.00,"Average"
278,"Lamp Tomato 492","Home & Kitchen",18,4.00,1,5,88,116,5942.68,"Good"
279,"Vacuum PeachPuff 924","Home & Kitchen",2,5.00,5,5,21,40,7634.00,"Good"
280,"Coffee Maker SteelBlue 144","Home & Kitchen",10,4.00,1,5,51,64,5272.96,"Good"
281,"Vacuum DarkSeaGreen 751","Home & Kitchen",8,3.13,1,5,58,69,5898.81,"Average"
282,"Vacuum White 804","Home & Kitchen",26,3.77,1,5,94,121,3715.91,"Average"
283,"Toaster DeepPink 977","Home & Kitchen",2,3.00,2,4,6,6,1343.22,"Average"
284,"Coffee Maker Violet 300","Home & Kitchen",6,3.33,2,4,29,34,5407.70,"Average"
285,"Toaster Teal 142","Home & Kitchen",5,4.60,4,5,33,36,4446.36,"Highly Rated"
286,"Vacuum Azure 467","Home & Kitchen",5,4.20,2,5,16,24,5646.00,"Good"
287,"Blender Purple 935","Home & Kitchen",10,4.00,3,5,60,83,3807.21,"Good"
288,"Coffee Maker Gainsboro 875","Home & Kitchen",15,4.20,2,5,90,115,2283.90,"Good"
