"device_type","traffic_source","country_code","total_sessions","page_view_sessions","add_to_cart_sessions","checkout_sessions","purchase_sessions","add_to_cart_rate_pct","checkout_rate_pct","purchase_conversion_rate_pct"
"tablet","direct","SE",74,74,43,24,14,58.11,55.81,18.92
"tablet","direct","SG",89,89,63,40,28,70.79,63.49,31.46
"tablet","direct","US",377,377,253,146,102,67.11,57.71,27.06
"tablet","direct","ZA",42,42,33,24,20,78.57,72.73,47.62
"tablet","email","AE",28,28,20,9,7,71.43,45.00,25.00
"tablet","email","AU",37,37,28,12,10,75.68,42.86,27.03
"tablet","email","BR",61,61,42,23,16,68.85,54.76,26.23
"tablet","email","CA",46,46,28,15,13,60.87,53.57,28.26
"tablet","email","DE",54,54,35,15,12,64.81,42.86,22.22
"tablet","email","ES",25,25,17,10,8,68.00,58.82,32.00
"tablet","email","FR",48,48,35,21,16,72.92,60.00,33.33
"tablet","email","GB",78,78,49,22,18,62.82,44.90,23.08
"tablet","email","IN",64,64,42,22,15,65.63,52.38,23.44
"tablet","email","JP",27,27,20,8,5,74.07,40.00,18.52
"tablet","email","MX",60,60,48,29,24,80.00,60.42,40.00
"tablet","email","NL",36,36,19,10,8,52.78,52.63,22.22
"tablet","email","PL",27,27,16,11,7,59.26,68.75,25.93
"tablet","email","SE",14,14,9,4,3,64.29,44.44,21.43
"tablet","email","SG",29,29,17,10,6,58.62,58.82,20.69
"tablet","email","US",138,138,92,42,34,66.67,45.65,24.64
"tablet","email","ZA",14,14,12,7,6,85.71,58.33,42.86
"tablet","organic","AE",80,80,54,26,18,67.50,48.15,22.50
"tablet","organic","AU",156,156,102,55,41,65.38,53.92,26.28
"tablet","organic","BR",209,209,139,92,66,66.51,66.19,31.58
"tablet","organic","CA",141,141,100,51,40,70.92,51.00,28.37
"tablet","organic","DE",192,192,130,63,48,67.71,48.46,25.00
"tablet","organic","ES",132,132,93,48,34,70.45,51.61,25.76
"tablet","organic","FR",187,187,124,72,54,66.31,58.06,28.88
"tablet","organic","GB",236,236,151,75,59,63.98,49.67,25.00
"tablet","organic","IN",219,219,144,71,54,65.75,49.31,24.66
"tablet","organic","JP",138,138,96,53,41,69.57,55.21,29.71
"tablet","organic","MX",160,160,102,62,47,63.75,60.78,29.38
"tablet","organic","NL",130,130,96,50,36,73.85,52.08,27.69
"tablet","organic","PL",86,86,56,29,19,65.12,51.79,22.09
"tablet","organic","SE",105,105,74,42,29,70.48,56.76,27.62
"tablet","organic","SG",103,103,68,34,22,66.02,50.00,21.36
"tablet","organic","US",532,532,370,209,160,69.55,56.49,30.08
"tablet","organic","ZA",60,60,44,33,25,73.33,75.00,41.67
"tablet","paid","AE",36,36,26,15,12,72.22,57.69,33.33
"tablet","paid","AU",48,48,31,15,12,64.58,48.39,25.00
"tablet","paid","BR",69,69,48,23,15,69.57,47.92,21.74
"tablet","paid","CA",57,57,42,20,17,73.68,47.62,29.82
"tablet","paid","DE",62,62,40,25,19,64.52,62.50,30.65
"tablet","paid","ES",46,46,31,16,11,67.39,51.61,23.91
"tablet","paid","FR",50,50,36,23,17,72.00,63.89,34.00
"tablet","paid","GB",74,74,42,21,14,56.76,50.00,18.92
"tablet","paid","IN",79,79,50,25,18,63.29,50.00,22.78
"tablet","paid","JP",37,37,25,16,13,67.57,64.00,35.14
"tablet","paid","MX",52,52,34,17,12,65.38,50.00,23.08
"tablet","paid","NL",47,47,31,19,17,65.96,61.29,36.17
"tablet","paid","PL",38,38,19,10,8,50.00,52.63,21.05
"tablet","paid","SE",33,33,22,11,8,66.67,50.00,24.24
"tablet","paid","SG",45,45,29,13,9,64.44,44.83,20.00
"tablet","paid","US",179,179,131,77,54,73.18,58.78,30.17
"tablet","paid","ZA",11,11,7,5,3,63.64,71.43,27.27
"tablet","referral","AE",21,21,14,10,8,66.67,71.43,38.10
"tablet","referral","AU",40,40,27,17,12,67.50,62.96,30.00
"tablet","referral","BR",37,37,22,13,8,59.46,59.09,21.62
"tablet","referral","CA",32,32,23,11,10,71.88,47.83,31.25
"tablet","referral","DE",55,55,31,21,18,56.36,67.74,32.73
"tablet","referral","ES",29,29,18,7,5,62.07,38.89,17.24
"tablet","referral","FR",45,45,29,17,15,64.44,58.62,33.33
"tablet","referral","GB",61,61,39,25,21,63.93,64.10,34.43
"tablet","referral","IN",66,66,47,28,20,71.21,59.57,30.30
"tablet","referral","JP",30,30,22,10,7,73.33,45.45,23.33
"tablet","referral","MX",45,45,35,18,13,77.78,51.43,28.89
"tablet","referral","NL",32,32,20,7,6,62.50,35.00,18.75
"tablet","referral","PL",19,19,11,6,6,57.89,54.55,31.58
"tablet","referral","SE",13,13,5,3,3,38.46,60.00,23.08
"tablet","referral","SG",22,22,13,10,10,59.09,76.92,45.45
"tablet","referral","US",121,121,78,45,36,64.46,57.69,29.75
"tablet","referral","ZA",8,8,5,2,2,62.50,40.00,25.00
"tablet","social","AE",33,33,25,18,14,75.76,72.00,42.42
"tablet","social","AU",44,44,33,22,17,75.00,66.67,38.64
"tablet","social","BR",70,70,42,20,17,60.00,47.62,24.29
"tablet","social","CA",62,62,48,17,12,77.42,35.42,19.35
"tablet","social","DE",75,75,47,28,22,62.67,59.57,29.33
"tablet","social","ES",47,47,28,17,15,59.57,60.71,31.91
"tablet","social","FR",72,72,45,26,20,62.50,57.78,27.78
"tablet","social","GB",87,87,48,24,17,55.17,50.00,19.54
"tablet","social","IN",95,95,70,41,33,73.68,58.57,34.74
"tablet","social","JP",54,54,36,18,14,66.67,50.00,25.93
"tablet","social","MX",67,67,56,29,21,83.58,51.79,31.34
"tablet","social","NL",51,51,37,19,18,72.55,51.35,35.29
"tablet","social","PL",21,21,15,12,8,71.43,80.00,38.10
"tablet","social","SE",34,34,21,11,9,61.76,52.38,26.47
"tablet","social","SG",57,57,41,17,15,71.93,41.46,26.32
"tablet","social","US",182,182,125,65,50,68.68,52.00,27.47
"tablet","social","ZA",19,19,13,8,7,68.42,61.54,36.84
