"product_id","product_name","product_category","total_orders","total_quantity_sold","total_revenue","total_cost","total_profit","avg_order_product_value"
39,"SSD DarkGray 312","Electronics",5,5,1899.15,989.65,909.50,379.83
40,"Smartwatch Coral 455","Electronics",49,65,7453.55,4290.65,3162.90,152.11
41,"SSD Chocolate 599","Electronics",8,10,3002.70,1605.30,1397.40,375.34
42,"Speaker GreenYellow 247","Electronics",7,10,3038.30,1803.40,1234.90,434.04
43,"Keyboard SpringGreen 590","Electronics",7,10,4573.10,3302.30,1270.80,653.30
44,"Mouse White 640","Electronics",8,11,3567.41,2003.32,1564.09,445.93
45,"SSD Pink 127","Electronics",51,65,7381.40,4893.20,2488.20,144.73
46,"Monitor Maroon 812","Electronics",5,7,4114.25,3122.70,991.55,822.85
47,"Monitor SeaGreen 464","Electronics",11,15,4882.35,3771.45,1110.90,443.85
48,"Webcam SaddleBrown 437","Electronics",7,11,3669.38,2692.25,977.13,524.20
49,"Webcam MistyRose 876","Electronics",9,13,4934.02,3634.02,1300.00,548.22
50,"Webcam Lime 857","Electronics",5,6,2936.76,2189.34,747.42,587.35
51,"Webcam LightBlue 848","Electronics",43,64,9212.80,5968.64,3244.16,214.25
52,"Headphones Gainsboro 583","Electronics",3,3,1782.21,1313.55,468.66,594.07
53,"Monitor LemonChiffon 452","Electronics",45,53,7440.14,5070.51,2369.63,165.34
54,"Speaker Cyan 457","Electronics",5,5,2454.40,1759.65,694.75,490.88
55,"SSD Lime 581","Electronics",69,93,7059.63,3746.04,3313.59,102.31
56,"Webcam Violet 724","Electronics",20,26,5785.26,3730.22,2055.04,289.26
57,"Headphones Snow 918","Electronics",8,9,2729.70,1899.54,830.16,303.30
58,"Keyboard MediumSpringGreen 497","Electronics",3,3,1517.25,813.21,704.04,505.75
59,"Webcam RosyBrown 908","Electronics",1,1,302.48,167.44,135.04,302.48
60,"SSD LightSlateGray 839","Electronics",60,78,6197.10,4857.84,1339.26,103.29
61,"Smartwatch Cornsilk 186","Electronics",4,5,1470.00,1062.80,407.20,367.50
62,"Mouse DarkOrchid 254","Electronics",38,49,6218.10,3346.21,2871.89,163.63
63,"Speaker Thistle 946","Electronics",6,7,3427.97,1864.31,1563.66,571.33
64,"Speaker PeachPuff 661","Electronics",3,3,1213.92,734.58,479.34,404.64
65,"Mouse FireBrick 843","Electronics",78,110,4642.00,3434.20,1207.80,58.76
66,"Keyboard MediumSpringGreen 544","Electronics",7,13,4291.95,3348.15,943.80,613.14
67,"Webcam DeepPink 357","Electronics",6,7,3506.37,1975.19,1531.18,584.40
68,"Webcam SlateGray 700","Electronics",25,41,8076.59,4621.11,3455.48,323.06
69,"SSD PeachPuff 234","Electronics",39,45,8002.80,5007.60,2995.20,205.20
70,"Headphones BlueViolet 569","Electronics",4,4,2194.84,1330.36,864.48,548.71
71,"Smartwatch Crimson 233","Electronics",1,1,501.47,382.85,118.62,501.47
72,"Mouse Maroon 550","Electronics",10,13,4269.20,2158.52,2110.68,426.92
73,"Mouse MediumSpringGreen 253","Electronics",7,10,3768.80,2761.80,1007.00,538.40
74,"Mouse MediumVioletRed 223","Electronics",44,56,6198.64,4250.40,1948.24,140.88
75,"Headphones SpringGreen 668","Electronics",20,20,4316.20,2829.20,1487.00,215.81
76,"Speaker SaddleBrown 673","Electronics",7,7,3339.28,1775.97,1563.31,477.04
77,"Headphones CornflowerBlue 890","Electronics",30,38,6522.32,3803.04,2719.28,217.41
78,"Keyboard DarkGoldenRod 878","Electronics",5,5,1597.00,1067.60,529.40,319.40
79,"Keyboard LightPink 617","Electronics",16,16,4522.40,3092.16,1430.24,282.65
80,"Webcam Sienna 646","Electronics",3,3,1274.58,810.27,464.31,424.86
81,"Speaker Coral 635","Electronics",4,5,1597.10,917.20,679.90,399.28
82,"Monitor Chocolate 307","Electronics",3,5,2779.95,2134.50,645.45,926.65
83,"Speaker Magenta 552","Electronics",47,54,5841.18,3133.62,2707.56,124.28
84,"SSD RosyBrown 174","Electronics",68,79,5636.65,3225.57,2411.08,81.69
85,"Webcam LightSkyBlue 895","Electronics",5,5,2058.00,1513.00,545.00,411.60
86,"Mouse OliveDrab 474","Electronics",3,3,1696.56,1175.79,520.77,565.52
87,"Mouse MediumTurquoise 578","Electronics",37,47,8190.69,4432.57,3758.12,221.37
88,"Webcam Beige 598","Electronics",4,4,1822.44,962.68,859.76,455.61
89,"Mouse SandyBrown 265","Electronics",5,10,5942.30,4455.10,1487.20,1188.46
90,"Smartwatch MidnightBlue 531","Electronics",4,6,3579.72,2223.54,1356.18,894.93
91,"Webcam FloralWhite 474","Electronics",22,23,5365.21,2831.07,2534.14,243.87
92,"Headphones DarkOrange 820","Electronics",14,23,5120.95,3265.08,1855.87,365.78
93,"Headphones Snow 402","Electronics",19,24,5977.92,3916.80,2061.12,314.63
94,"Keyboard Chocolate 334","Electronics",63,86,8111.52,6290.90,1820.62,126.74
95,"Keyboard IndianRed 897","Electronics",59,85,6622.35,3851.35,2771.00,112.24
96,"Mouse LightSlateGray 532","Electronics",18,26,4787.90,2579.98,2207.92,265.99
97,"Monitor DarkSeaGreen 627","Electronics",8,11,2875.29,1900.47,974.82,359.41
98,"Speaker LightBlue 158","Electronics",5,7,3004.68,1582.98,1421.70,600.94
99,"Mouse Orchid 117","Electronics",2,2,544.86,284.26,260.60,272.43
100,"Keyboard OrangeRed 976","Electronics",10,10,4869.30,2557.00,2312.30,486.93
101,"Webcam SpringGreen 564","Electronics",80,90,6117.30,4642.20,1475.10,76.47
102,"Headphones Cyan 374","Electronics",17,20,4466.40,2974.20,1492.20,262.73
103,"Mouse FireBrick 212","Electronics",72,97,5299.11,3777.18,1521.93,73.60
104,"Mouse RosyBrown 419","Electronics",37,55,9860.40,5465.90,4394.50,266.50
105,"Monitor PaleGoldenRod 556","Electronics",5,7,2329.04,1308.37,1020.67,465.81
106,"Mouse LightSeaGreen 356","Electronics",22,28,5157.60,3822.28,1335.32,234.44
107,"Headphones DarkSlateGray 664","Electronics",76,96,3720.00,2678.40,1041.60,48.95
108,"Webcam Plum 557","Electronics",6,6,1938.66,1112.22,826.44,323.11
109,"Keyboard LightSeaGreen 772","Electronics",4,4,1620.96,1126.60,494.36,405.24
110,"Speaker PapayaWhip 618","Electronics",2,2,682.34,523.10,159.24,341.17
111,"Monitor MintCream 450","Electronics",10,13,5486.13,4359.94,1126.19,548.61
112,"Webcam Olive 751","Electronics",6,9,4539.60,3232.26,1307.34,756.60
113,"Mouse Lavender 155","Electronics",14,19,4952.92,2992.88,1960.04,353.78
114,"Mouse DeepPink 361","Electronics",62,71,2707.23,1861.62,845.61,43.67
115,"Smartwatch DarkBlue 961","Electronics",49,64,7875.20,4136.96,3738.24,160.72
116,"Smartwatch Fuchsia 388","Electronics",4,4,2104.84,1475.84,629.00,526.21
117,"Webcam DeepPink 289","Electronics",6,11,4673.13,2399.98,2273.15,778.86
118,"Mouse Lavender 472","Electronics",25,33,6050.55,3031.71,3018.84,242.02
119,"SSD Lavender 350","Electronics",6,6,3506.40,2328.66,1177.74,584.40
120,"Headphones Aquamarine 465","Electronics",8,16,9286.88,5505.92,3780.96,1160.86
121,"Mouse SlateBlue 586","Electronics",97,135,4132.35,2539.35,1593.00,42.60
122,"Monitor Gainsboro 616","Electronics",6,11,3482.38,1951.18,1531.20,580.40
123,"Headphones LightGray 247","Electronics",62,86,7033.94,5240.84,1793.10,113.45
124,"Smartwatch LightSkyBlue 406","Electronics",6,7,2551.36,1577.24,974.12,425.23
125,"Monitor AntiqueWhite 641","Electronics",4,4,1555.64,817.24,738.40,388.91
126,"Mouse DarkViolet 710","Electronics",4,4,1619.20,1157.40,461.80,404.80
127,"Smartwatch PeachPuff 606","Electronics",7,7,3259.62,2334.57,925.05,465.66
128,"Mouse White 248","Electronics",25,30,5759.40,3948.60,1810.80,230.38
129,"Headphones NavajoWhite 625","Electronics",4,7,3501.19,2501.59,999.60,875.30
131,"Headphones DarkSalmon 828","Electronics",5,5,2505.25,1691.60,813.65,501.05
132,"Webcam Thistle 752","Electronics",58,72,5652.00,2897.28,2754.72,97.45
133,"SSD CadetBlue 562","Electronics",5,5,2884.60,1768.20,1116.40,576.92
134,"Headphones SaddleBrown 797","Electronics",4,6,2326.98,1600.68,726.30,581.75
135,"Webcam OrangeRed 916","Electronics",5,5,1544.50,773.80,770.70,308.90
136,"Keyboard Orchid 648","Electronics",5,8,3652.08,2377.12,1274.96,730.42
137,"Keyboard PaleGoldenRod 854","Electronics",5,5,2029.00,1054.70,974.30,405.80
138,"Speaker OrangeRed 371","Electronics",31,37,6428.75,3358.12,3070.63,207.38
139,"Webcam DarkKhaki 857","Electronics",7,10,4457.20,2503.00,1954.20,636.74
140,"Speaker SkyBlue 590","Electronics",3,3,934.65,574.59,360.06,311.55
141,"Monitor PaleGoldenRod 758","Electronics",3,3,1401.51,960.15,441.36,467.17
142,"Webcam Chocolate 360","Electronics",78,94,6971.04,3793.84,3177.20,89.37
143,"Monitor Gold 593","Electronics",6,6,2304.36,1244.40,1059.96,384.06
144,"Headphones CornflowerBlue 201","Electronics",5,11,3375.90,2672.89,703.01,675.18
145,"Webcam HoneyDew 628","Electronics",7,9,3736.35,2194.20,1542.15,533.76
146,"Monitor Purple 221","Electronics",2,2,589.72,377.36,212.36,294.86
147,"Webcam DodgerBlue 584","Electronics",19,25,5191.25,2729.25,2462.00,273.22
148,"Headphones DarkOliveGreen 618","Electronics",28,33,6437.31,3366.33,3070.98,229.90
149,"Speaker MediumSpringGreen 315","Electronics",6,6,3579.36,2205.06,1374.30,596.56
150,"Keyboard CadetBlue 636","Electronics",3,3,1084.32,588.27,496.05,361.44
151,"Monitor DarkKhaki 939","Electronics",6,11,6303.66,3402.63,2901.03,1050.61
153,"Speaker DeepPink 125","Electronics",5,5,2708.45,1749.25,959.20,541.69
154,"Mouse WhiteSmoke 561","Electronics",96,122,3910.10,2531.50,1378.60,40.73
155,"Smartwatch DarkGreen 452","Electronics",27,33,6669.63,3616.47,3053.16,247.02
156,"Smartwatch Moccasin 101","Electronics",26,41,8616.56,6480.05,2136.51,331.41
157,"SSD Bisque 222","Electronics",3,3,1373.76,1032.69,341.07,457.92
158,"Webcam Cornsilk 396","Electronics",3,5,2182.10,1681.25,500.85,727.37
159,"Monitor HoneyDew 990","Electronics",10,15,3632.55,2244.45,1388.10,363.26
160,"Keyboard OldLace 381","Electronics",16,26,6125.60,3849.30,2276.30,382.85
161,"Headphones DeepPink 777","Electronics",25,26,4938.96,2545.92,2393.04,197.56
162,"Monitor LightCoral 372","Electronics",4,4,1567.72,853.88,713.84,391.93
163,"Smartwatch MediumTurquoise 482","Electronics",4,7,2248.75,1252.44,996.31,562.19
164,"Smartwatch Moccasin 746","Electronics",3,5,2670.15,1985.50,684.65,890.05
165,"Smartwatch Sienna 662","Electronics",4,9,4955.85,3876.48,1079.37,1238.96
166,"Webcam DarkRed 849","Electronics",4,4,1760.64,906.44,854.20,440.16
167,"Smartwatch DarkOrange 759","Electronics",7,10,2869.90,2083.00,786.90,409.99
168,"Monitor SlateBlue 663","Electronics",7,8,2454.24,1898.56,555.68,350.61
169,"Mouse SeaGreen 388","Electronics",43,50,6366.50,3975.50,2391.00,148.06
170,"Monitor Silver 768","Electronics",29,30,5273.10,3805.20,1467.90,181.83
171,"Monitor SkyBlue 594","Electronics",9,13,3400.02,1943.50,1456.52,377.78
172,"Lamp Magenta 758","Home & Kitchen",18,30,5115.90,2741.70,2374.20,284.22
173,"Coffee Maker DarkBlue 931","Home & Kitchen",94,123,3448.92,2242.29,1206.63,36.69
174,"Vacuum DarkTurquoise 440","Home & Kitchen",26,36,5115.24,3252.60,1862.64,196.74
175,"Toaster DarkKhaki 297","Home & Kitchen",33,42,4955.58,2685.48,2270.10,150.17
176,"Coffee Maker MediumSpringGreen 193","Home & Kitchen",89,117,3717.09,2239.38,1477.71,41.77
177,"Air Fryer LightGray 683","Home & Kitchen",61,87,5862.93,3386.04,2476.89,96.11
178,"Coffee Maker Silver 522","Home & Kitchen",19,21,4681.74,3393.81,1287.93,246.41
179,"Vacuum DodgerBlue 485","Home & Kitchen",40,46,5029.18,3305.56,1723.62,125.73
180,"Air Fryer Tomato 384","Home & Kitchen",36,56,5105.52,2647.68,2457.84,141.82
181,"Lamp Beige 615","Home & Kitchen",12,12,2906.88,1563.24,1343.64,242.24
182,"Lamp GreenYellow 321","Home & Kitchen",33,41,6605.51,5012.66,1592.85,200.17
183,"Blender Wheat 509","Home & Kitchen",49,59,4427.95,2544.08,1883.87,90.37
184,"Cookware MistyRose 969","Home & Kitchen",30,37,4329.37,3403.63,925.74,144.31
185,"Toaster DarkViolet 133","Home & Kitchen",11,18,3950.82,2001.24,1949.58,359.17
186,"Vacuum YellowGreen 584","Home & Kitchen",20,29,5228.12,4018.82,1209.30,261.41
187,"Lamp Bisque 945","Home & Kitchen",33,49,6250.44,3262.42,2988.02,189.41
188,"Lamp Wheat 354","Home & Kitchen",14,17,3660.27,2897.65,762.62,261.45
189,"Toaster Lime 634","Home & Kitchen",62,93,3363.81,1837.68,1526.13,54.26
190,"Cookware DarkGoldenRod 817","Home & Kitchen",67,84,3034.92,2268.84,766.08,45.30
191,"Cookware LightGoldenRodYellow 187","Home & Kitchen",16,26,5542.16,4259.06,1283.10,346.39
192,"Lamp Tomato 228","Home & Kitchen",28,37,7268.65,3637.47,3631.18,259.59
193,"Coffee Maker Moccasin 832","Home & Kitchen",33,33,4839.45,2474.34,2365.11,146.65
194,"Air Fryer FireBrick 640","Home & Kitchen",12,16,3855.68,2652.48,1203.20,321.31
195,"Cookware MintCream 201","Home & Kitchen",43,56,6438.88,4695.04,1743.84,149.74
196,"Blender Ivory 296","Home & Kitchen",53,67,5499.36,4306.09,1193.27,103.76
197,"Vacuum White 101","Home & Kitchen",46,63,4574.43,3371.76,1202.67,99.44
198,"Blender Yellow 385","Home & Kitchen",31,40,5559.60,4441.60,1118.00,179.34
199,"Air Fryer SteelBlue 586","Home & Kitchen",23,32,5270.40,4032.64,1237.76,229.15
200,"Lamp MediumPurple 521","Home & Kitchen",47,55,3648.70,2094.95,1553.75,77.63
201,"Cookware Ivory 298","Home & Kitchen",29,44,7300.48,3771.24,3529.24,251.74
202,"Vacuum GoldenRod 183","Home & Kitchen",12,12,2668.32,1852.20,816.12,222.36
203,"Air Fryer LawnGreen 479","Home & Kitchen",53,66,4268.88,2677.62,1591.26,80.54
204,"Coffee Maker PaleGoldenRod 835","Home & Kitchen",37,52,6672.12,4728.88,1943.24,180.33
205,"Vacuum Khaki 106","Home & Kitchen",56,64,6205.44,3840.64,2364.80,110.81
206,"Toaster Green 169","Home & Kitchen",57,78,6248.58,4708.86,1539.72,109.62
207,"Coffee Maker Tomato 884","Home & Kitchen",27,27,3482.19,1950.48,1531.71,128.97
208,"Toaster Snow 371","Home & Kitchen",63,82,4636.28,2965.12,1671.16,73.59
209,"Toaster MintCream 738","Home & Kitchen",12,12,2681.28,1428.36,1252.92,223.44
210,"Vacuum Black 596","Home & Kitchen",34,49,7664.58,5893.72,1770.86,225.43
211,"Vacuum Black 709","Home & Kitchen",12,14,3199.00,1653.68,1545.32,266.58
212,"Coffee Maker LightSeaGreen 124","Home & Kitchen",11,12,2775.12,1432.80,1342.32,252.28
213,"Lamp SeaShell 161","Home & Kitchen",69,91,4009.46,2067.52,1941.94,58.11
214,"Coffee Maker LightGoldenRodYellow 421","Home & Kitchen",42,52,5428.80,4177.16,1251.64,129.26
215,"Cookware GoldenRod 269","Home & Kitchen",94,125,4646.25,2433.75,2212.50,49.43
216,"Air Fryer MediumTurquoise 637","Home & Kitchen",65,73,4070.48,2831.67,1238.81,62.62
217,"Cookware RosyBrown 842","Home & Kitchen",39,50,6111.50,3627.50,2484.00,156.71
218,"Vacuum MediumVioletRed 553","Home & Kitchen",16,17,3593.63,2858.72,734.91,224.60
219,"Coffee Maker Moccasin 182","Home & Kitchen",82,100,3615.00,1892.00,1723.00,44.09
220,"Air Fryer Cyan 674","Home & Kitchen",47,65,7204.60,5515.25,1689.35,150.10
221,"Toaster Indigo 941","Home & Kitchen",51,62,3706.36,2249.98,1456.38,72.67
222,"Air Fryer DarkKhaki 150","Home & Kitchen",10,15,3109.20,1957.95,1151.25,310.92
223,"Cookware Khaki 557","Home & Kitchen",45,62,7665.06,4689.68,2975.38,170.33
224,"Coffee Maker SeaShell 585","Home & Kitchen",41,52,4554.68,3284.84,1269.84,111.09
225,"Blender Gray 740","Home & Kitchen",36,48,7756.80,4455.36,3301.44,215.47
226,"Toaster MediumSlateBlue 575","Home & Kitchen",52,67,7179.05,4398.55,2780.50,138.06
227,"Blender GreenYellow 299","Home & Kitchen",14,20,4056.00,2103.40,1952.60,289.71
228,"Cookware SkyBlue 471","Home & Kitchen",95,126,3160.08,2154.60,1005.48,33.26
229,"Air Fryer AliceBlue 144","Home & Kitchen",39,54,4881.06,3837.24,1043.82,125.16
230,"Air Fryer Silver 382","Home & Kitchen",16,23,4350.45,3075.33,1275.12,271.90
231,"Air Fryer MediumTurquoise 924","Home & Kitchen",108,139,1516.49,1102.27,414.22,13.91
232,"Cookware DarkBlue 945","Home & Kitchen",21,27,6403.32,3327.21,3076.11,304.92
233,"Coffee Maker DarkOrchid 576","Home & Kitchen",78,98,3502.52,2502.92,999.60,44.90
234,"Toaster Orange 540","Home & Kitchen",51,74,7604.24,4374.88,3229.36,149.10
235,"Toaster Green 287","Home & Kitchen",33,39,5008.77,3898.83,1109.94,151.78
236,"Blender Silver 942","Home & Kitchen",20,21,4255.02,3070.20,1184.82,212.75
237,"Cookware Fuchsia 435","Home & Kitchen",17,20,3909.40,2666.80,1242.60,229.96
238,"Toaster PowderBlue 901","Home & Kitchen",44,53,4594.57,2796.28,1798.29,104.42
239,"Lamp MediumSeaGreen 870","Home & Kitchen",87,107,3098.72,1732.33,1366.39,34.82
240,"Coffee Maker DarkCyan 134","Home & Kitchen",57,77,5339.95,2773.54,2566.41,93.68
241,"Vacuum Orchid 536","Home & Kitchen",37,47,6703.14,4006.75,2696.39,181.17
242,"Blender SandyBrown 186","Home & Kitchen",9,9,2223.72,1288.53,935.19,247.08
243,"Coffee Maker PaleGoldenRod 826","Home & Kitchen",100,129,4275.06,2777.37,1497.69,42.75
244,"Vacuum DarkBlue 571","Home & Kitchen",61,75,3867.75,2088.00,1779.75,63.41
245,"Lamp DimGray 651","Home & Kitchen",21,26,5821.40,3320.98,2500.42,277.21
246,"Toaster FloralWhite 898","Home & Kitchen",18,20,3914.60,2849.40,1065.20,217.48
247,"Toaster DarkSalmon 374","Home & Kitchen",47,57,4590.78,2680.14,1910.64,95.64
248,"Air Fryer Black 549","Home & Kitchen",53,76,5393.72,3118.28,2275.44,101.77
249,"Coffee Maker DeepPink 388","Home & Kitchen",70,83,4530.14,2585.45,1944.69,64.72
250,"Lamp SeaGreen 357","Home & Kitchen",82,109,6014.62,3123.94,2890.68,72.47
251,"Coffee Maker DarkViolet 927","Home & Kitchen",34,41,5402.16,3076.23,2325.93,158.89
252,"Blender Sienna 204","Home & Kitchen",24,34,5671.20,4521.66,1149.54,236.30
253,"Blender MediumVioletRed 960","Home & Kitchen",43,51,6320.94,4713.93,1607.01,147.00
254,"Vacuum DeepSkyBlue 400","Home & Kitchen",15,23,5277.35,2702.50,2574.85,351.82
255,"Coffee Maker DarkSeaGreen 947","Home & Kitchen",69,96,3706.56,2064.00,1642.56,53.72
256,"Lamp Beige 624","Home & Kitchen",61,74,4188.40,2188.92,1999.48,68.66
257,"Toaster Aquamarine 893","Home & Kitchen",63,93,4897.38,3334.98,1562.40,77.74
258,"Toaster DarkKhaki 752","Home & Kitchen",25,36,6103.44,3063.24,3040.20,244.14
259,"Lamp Violet 138","Home & Kitchen",21,28,5049.24,3054.24,1995.00,240.44
260,"Air Fryer DarkSlateGray 361","Home & Kitchen",36,52,4763.20,2444.52,2318.68,132.31
261,"Blender PowderBlue 308","Home & Kitchen",26,38,5846.68,4066.38,1780.30,224.87
262,"Toaster GoldenRod 794","Home & Kitchen",91,122,1553.06,928.42,624.64,17.07
263,"Air Fryer HotPink 308","Home & Kitchen",80,109,5932.87,3521.79,2411.08,73.25
264,"Blender Black 164","Home & Kitchen",25,28,5624.36,3736.88,1887.48,224.97
265,"Vacuum LightCoral 663","Home & Kitchen",110,157,5389.81,3334.68,2055.13,48.56
266,"Coffee Maker HotPink 267","Home & Kitchen",19,31,5065.40,2671.27,2394.13,266.60
267,"Vacuum LightSteelBlue 390","Home & Kitchen",23,25,4422.50,2755.00,1667.50,192.28
268,"Cookware SteelBlue 419","Home & Kitchen",49,60,5029.20,3952.80,1076.40,102.64
269,"Cookware LawnGreen 526","Home & Kitchen",20,27,3940.92,2392.74,1548.18,197.05
270,"Blender MediumOrchid 472","Home & Kitchen",15,19,4130.98,3300.68,830.30,275.40
271,"Cookware LightGoldenRodYellow 308","Home & Kitchen",66,98,5618.34,4036.62,1581.72,85.13
272,"Blender YellowGreen 216","Home & Kitchen",44,54,6166.80,3372.84,2793.96,140.15
273,"Toaster PeachPuff 473","Home & Kitchen",86,101,3203.72,2157.36,1046.36,37.25
274,"Vacuum DarkSeaGreen 152","Home & Kitchen",19,25,4888.25,2634.75,2253.50,257.28
275,"Lamp Chocolate 506","Home & Kitchen",81,97,4287.40,3180.63,1106.77,52.93
276,"Blender MidnightBlue 854","Home & Kitchen",35,43,6342.07,4935.11,1406.96,181.20
277,"Lamp Salmon 265","Home & Kitchen",78,115,5888.00,3558.10,2329.90,75.49
278,"Lamp Tomato 492","Home & Kitchen",88,116,5942.68,3091.40,2851.28,67.53
279,"Vacuum PeachPuff 924","Home & Kitchen",21,40,7634.00,5631.20,2002.80,363.52
280,"Coffee Maker SteelBlue 144","Home & Kitchen",51,64,5272.96,3960.96,1312.00,103.39
281,"Vacuum DarkSeaGreen 751","Home & Kitchen",58,69,5898.81,4024.77,1874.04,101.70
282,"Vacuum White 804","Home & Kitchen",94,121,3715.91,2652.32,1063.59,39.53
283,"Toaster DeepPink 977","Home & Kitchen",6,6,1343.22,929.64,413.58,223.87
284,"Coffee Maker Violet 300","Home & Kitchen",29,34,5407.70,3701.24,1706.46,186.47
285,"Toaster Teal 142","Home & Kitchen",33,36,4446.36,2977.56,1468.80,134.74
286,"Vacuum Azure 467","Home & Kitchen",16,24,5646.00,3088.08,2557.92,352.88
287,"Blender Purple 935","Home & Kitchen",60,83,3807.21,3012.07,795.14,63.45
288,"Coffee Maker Gainsboro 875","Home & Kitchen",90,115,2283.90,1527.20,756.70,25.38
289,"Cookware AntiqueWhite 220","Home & Kitchen",89,110,2106.50,1582.90,523.60,23.67
290,"Vacuum DeepPink 742","Home & Kitchen",32,42,6462.96,4297.86,2165.10,201.97
291,"Toaster ForestGreen 696","Home & Kitchen",62,78,6512.22,4077.06,2435.16,105.04
292,"Coffee Maker DarkTurquoise 557","Home & Kitchen",36,46,5160.28,3599.96,1560.32,143.34
293,"Lamp Sienna 733","Home & Kitchen",45,59,6796.80,3446.19,3350.61,151.04
294,"Vacuum DarkOrchid 733","Home & Kitchen",27,35,4258.45,2699.90,1558.55,157.72
295,"Toaster Chocolate 929","Home & Kitchen",25,25,5163.75,3877.75,1286.00,206.55
296,"Vacuum MediumOrchid 467","Home & Kitchen",49,67,7107.36,3697.06,3410.30,145.05
297,"Vacuum Tomato 616","Home & Kitchen",51,65,6349.20,4702.75,1646.45,124.49
298,"Lamp Wheat 233","Home & Kitchen",28,33,5534.10,2834.70,2699.40,197.65
299,"Blender SkyBlue 837","Home & Kitchen",14,17,3932.27,2336.31,1595.96,280.88
300,"Lamp DarkMagenta 486","Home & Kitchen",79,100,2919.00,2118.00,801.00,36.95
301,"Cookware Chartreuse 977","Home & Kitchen",15,18,4287.78,2319.12,1968.66,285.85
302,"Blender LightBlue 934","Home & Kitchen",8,8,1992.56,1433.92,558.64,249.07
303,"Blender Gold 603","Home & Kitchen",75,102,5761.98,4577.76,1184.22,76.83
304,"Air Fryer LightSalmon 269","Home & Kitchen",13,17,4073.03,3155.88,917.15,313.31
305,"Cookware BlueViolet 167","Home & Kitchen",30,40,7968.40,6208.80,1759.60,265.61
306,"Toaster DarkGreen 262","Home & Kitchen",36,48,4522.56,3287.04,1235.52,125.63
307,"Air Fryer Tan 935","Home & Kitchen",21,25,5629.25,3279.00,2350.25,268.06
