"customer_id","last_order_date","days_since_last_order","total_orders","total_spent","customer_status"
172,"2024-07-24",464,2,544.05,"Churned"
173,"2022-06-11",1238,4,572.79,"Churned"
174,"2024-08-06",451,3,522.14,"Churned"
175,"2024-10-29",367,5,441.37,"Churned"
176,"2025-04-09",205,1,67.32,"Churned"
177,"2020-10-12",1845,2,149.46,"Churned"
178,"2025-08-02",90,1,56.09,"At Risk"
179,"2023-01-01",1034,1,69.45,"Churned"
180,"2020-07-10",1939,1,249.08,"Churned"
181,"2023-03-27",949,3,653.41,"Churned"
182,"2023-05-18",897,1,139.43,"Churned"
183,"2024-02-25",614,2,181.15,"Churned"
184,"2025-07-14",109,1,247.08,"Churned"
185,"2024-11-30",335,3,575.53,"Churned"
186,"2025-02-27",246,2,201.48,"Churned"
187,"2025-01-26",278,4,203.45,"Churned"
188,"2024-03-22",588,4,466.20,"Churned"
189,"2023-09-30",762,2,371.33,"Churned"
190,"2022-08-09",1179,1,109.31,"Churned"
191,"2021-02-12",1722,1,30.64,"Churned"
192,"2021-03-15",1691,1,106.40,"Churned"
193,"2024-10-20",376,2,180.55,"Churned"
194,"2020-06-22",1957,1,46.87,"Churned"
196,"2022-08-18",1170,2,444.50,"Churned"
197,"2022-03-10",1331,2,118.83,"Churned"
198,"2024-09-12",414,1,877.96,"Churned"
199,"2020-10-13",1844,1,178.72,"Churned"
200,"2023-05-31",884,2,104.17,"Churned"
201,"2021-01-24",1741,1,138.19,"Churned"
202,"2023-02-14",990,1,445.93,"Churned"
203,"2022-01-03",1397,1,47.62,"Churned"
204,"2025-06-21",132,1,123.35,"Churned"
205,"2025-07-05",118,3,266.91,"Churned"
206,"2023-07-01",853,2,275.33,"Churned"
207,"2021-01-26",1739,2,335.36,"Churned"
208,"2024-07-13",475,4,244.21,"Churned"
209,"2024-04-23",556,2,514.09,"Churned"
210,"2021-10-29",1463,2,494.76,"Churned"
211,"2024-08-04",453,2,150.69,"Churned"
212,"2022-10-20",1107,1,76.07,"Churned"
214,"2025-08-14",78,3,366.75,"At Risk"
215,"2023-01-10",1025,1,147.06,"Churned"
216,"2025-02-05",268,2,461.91,"Churned"
218,"2024-11-05",360,2,307.51,"Churned"
219,"2022-07-13",1206,1,56.86,"Churned"
221,"2021-11-05",1456,1,44.27,"Churned"
222,"2025-09-29",32,2,108.74,"At Risk"
223,"2020-10-20",1837,3,205.22,"Churned"
224,"2025-09-25",36,1,100.07,"At Risk"
225,"2024-10-28",368,2,84.63,"Churned"
226,"2025-09-04",57,2,190.83,"At Risk"
227,"2020-04-23",2017,1,82.47,"Churned"
228,"2025-03-31",214,2,180.84,"Churned"
229,"2023-10-05",757,1,116.54,"Churned"
231,"2020-07-17",1932,1,54.03,"Churned"
233,"2022-03-21",1320,1,199.88,"Churned"
234,"2025-04-30",184,1,7.26,"Churned"
235,"2020-08-16",1902,1,135.36,"Churned"
236,"2025-03-19",226,3,677.15,"Churned"
237,"2025-04-16",198,4,693.97,"Churned"
238,"2023-10-12",750,2,284.27,"Churned"
239,"2025-02-13",260,2,787.76,"Churned"
240,"2024-11-15",350,2,49.32,"Churned"
241,"2024-04-29",550,1,41.65,"Churned"
243,"2021-02-12",1722,1,233.70,"Churned"
244,"2024-11-20",345,1,45.56,"Churned"
246,"2025-07-31",92,1,228.32,"Churned"
247,"2022-01-23",1377,1,51.90,"Churned"
248,"2025-08-23",69,1,96.51,"At Risk"
250,"2025-04-03",211,3,247.66,"Churned"
251,"2022-01-02",1398,1,213.07,"Churned"
253,"2025-08-20",72,3,1030.41,"At Risk"
254,"2024-09-22",404,5,510.58,"Churned"
255,"2025-01-10",294,3,183.28,"Churned"
256,"2022-12-12",1054,1,172.23,"Churned"
257,"2024-11-23",342,4,274.03,"Churned"
258,"2020-01-01",2130,1,69.26,"Churned"
259,"2020-10-30",1827,1,147.49,"Churned"
261,"2021-07-05",1579,2,962.45,"Churned"
262,"2025-10-29",2,1,692.35,"Active"
263,"2025-09-18",43,3,50.82,"At Risk"
264,"2024-11-13",352,4,322.40,"Churned"
265,"2025-02-17",256,4,910.64,"Churned"
266,"2023-12-21",680,4,647.90,"Churned"
269,"2025-01-19",285,2,114.08,"Churned"
270,"2025-10-04",27,2,321.34,"Active"
271,"2024-04-08",571,2,86.27,"Churned"
272,"2023-11-09",722,1,90.44,"Churned"
273,"2024-03-18",592,2,408.31,"Churned"
275,"2025-10-02",29,2,169.07,"Active"
276,"2024-10-27",369,3,217.25,"Churned"
277,"2024-03-26",584,1,57.89,"Churned"
278,"2024-04-02",577,2,111.18,"Churned"
279,"2023-09-25",767,2,270.70,"Churned"
280,"2025-05-25",159,1,44.18,"Churned"
281,"2024-09-12",414,2,47.91,"Churned"
283,"2024-04-28",551,2,54.84,"Churned"
284,"2024-05-21",528,2,554.80,"Churned"
285,"2023-10-19",743,2,147.82,"Churned"
286,"2024-02-26",613,1,372.36,"Churned"
288,"2025-01-09",295,3,409.72,"Churned"
289,"2024-01-28",642,2,959.12,"Churned"
291,"2025-09-26",35,2,213.03,"At Risk"
293,"2021-11-24",1437,1,75.91,"Churned"
294,"2023-01-15",1020,2,1064.59,"Churned"
296,"2022-02-07",1362,1,31.72,"Churned"
297,"2020-10-30",1827,2,112.72,"Churned"
298,"2025-03-24",221,2,86.07,"Churned"
299,"2021-05-02",1643,1,126.67,"Churned"
302,"2025-03-23",222,1,435.02,"Churned"
303,"2024-12-30",305,2,250.29,"Churned"
304,"2022-04-12",1298,2,230.92,"Churned"
305,"2024-09-13",413,4,348.22,"Churned"
306,"2022-03-23",1318,1,87.06,"Churned"
307,"2023-11-29",702,1,78.99,"Churned"
308,"2020-11-04",1822,2,115.01,"Churned"
309,"2024-09-12",414,1,12.97,"Churned"
310,"2021-02-04",1730,2,171.87,"Churned"
311,"2023-01-12",1023,2,246.18,"Churned"
312,"2024-11-30",335,2,77.04,"Churned"
314,"2025-04-18",196,3,852.49,"Churned"
315,"2024-09-13",413,4,347.73,"Churned"
316,"2024-12-05",330,3,855.77,"Churned"
317,"2024-08-21",436,3,228.84,"Churned"
318,"2024-06-24",494,3,618.18,"Churned"
320,"2025-05-20",164,5,426.47,"Churned"
322,"2025-06-03",150,4,330.42,"Churned"
323,"2023-03-29",947,2,78.52,"Churned"
324,"2021-06-11",1603,1,225.48,"Churned"
326,"2024-04-18",561,1,168.69,"Churned"
327,"2025-04-05",209,6,1008.15,"Churned"
331,"2023-01-10",1025,1,48.64,"Churned"
332,"2022-04-30",1280,1,130.03,"Churned"
333,"2023-03-13",963,2,29.00,"Churned"
334,"2025-06-28",125,5,805.12,"Churned"
335,"2022-08-12",1176,2,203.33,"Churned"
336,"2025-10-19",12,3,546.58,"Active"
337,"2020-09-27",1860,1,586.78,"Churned"
339,"2023-07-06",848,1,162.55,"Churned"
341,"2024-05-10",539,1,23.61,"Churned"
342,"2022-06-26",1223,1,29.46,"Churned"
343,"2023-01-31",1004,3,725.09,"Churned"
344,"2025-04-13",201,3,361.03,"Churned"
345,"2025-09-28",33,2,620.09,"At Risk"
346,"2023-12-30",671,1,17.47,"Churned"
347,"2020-03-26",2045,1,259.60,"Churned"
348,"2020-06-27",1952,1,143.19,"Churned"
349,"2022-01-11",1389,3,418.85,"Churned"
350,"2023-07-29",825,2,231.42,"Churned"
351,"2022-05-24",1256,1,161.63,"Churned"
352,"2025-01-03",301,3,290.25,"Churned"
353,"2024-06-18",500,2,423.38,"Churned"
354,"2024-01-24",646,4,334.27,"Churned"
356,"2021-10-23",1469,1,97.89,"Churned"
357,"2020-12-17",1779,1,179.55,"Churned"
358,"2020-09-23",1864,1,231.10,"Churned"
359,"2024-12-10",325,3,260.20,"Churned"
360,"2024-09-14",412,1,57.01,"Churned"
361,"2020-06-28",1951,2,225.15,"Churned"
362,"2024-11-15",350,4,696.85,"Churned"
363,"2024-05-31",518,1,65.85,"Churned"
364,"2021-06-16",1598,1,242.78,"Churned"
365,"2023-12-30",671,1,183.55,"Churned"
366,"2025-09-19",42,1,187.57,"At Risk"
369,"2023-06-19",865,3,510.79,"Churned"
370,"2022-04-29",1281,2,434.90,"Churned"
371,"2023-07-23",831,1,117.47,"Churned"
372,"2022-07-26",1193,3,2978.28,"Churned"
373,"2025-02-22",251,1,104.84,"Churned"
375,"2025-06-15",138,2,205.59,"Churned"
376,"2025-10-31",0,2,260.42,"Active"
377,"2023-08-08",815,1,251.58,"Churned"
379,"2020-03-07",2064,1,50.05,"Churned"
381,"2020-06-09",1970,2,220.97,"Churned"
382,"2024-08-27",430,2,853.33,"Churned"
385,"2022-02-07",1362,3,270.92,"Churned"
386,"2024-05-26",523,1,43.79,"Churned"
387,"2025-07-16",107,2,223.79,"Churned"
389,"2024-09-03",423,3,257.78,"Churned"
390,"2021-09-16",1506,1,120.95,"Churned"
392,"2024-01-12",658,2,258.56,"Churned"
393,"2023-07-14",840,3,679.75,"Churned"
394,"2021-05-17",1628,1,158.16,"Churned"
395,"2024-11-15",350,5,1273.15,"Churned"
396,"2021-03-12",1694,1,5.93,"Churned"
397,"2024-09-26",400,2,73.53,"Churned"
398,"2024-09-25",401,3,602.46,"Churned"
399,"2023-04-01",944,2,614.89,"Churned"
400,"2024-06-11",507,1,80.65,"Churned"
401,"2025-05-04",180,2,39.10,"Churned"
402,"2024-12-06",329,3,1015.68,"Churned"
403,"2025-07-12",111,2,122.44,"Churned"
405,"2024-11-17",348,1,75.36,"Churned"
406,"2022-02-16",1353,1,234.11,"Churned"
407,"2021-05-13",1632,2,263.66,"Churned"
408,"2020-11-24",1802,1,107.60,"Churned"
410,"2021-12-27",1404,1,168.95,"Churned"
412,"2025-02-03",270,1,201.76,"Churned"
413,"2023-09-22",770,1,133.44,"Churned"
414,"2023-02-10",994,2,450.04,"Churned"
415,"2023-08-03",820,5,661.19,"Churned"
416,"2025-08-19",73,2,225.00,"At Risk"
417,"2025-10-20",11,2,183.79,"Active"
419,"2022-12-15",1051,3,375.33,"Churned"
420,"2025-07-08",115,3,414.11,"Churned"
421,"2022-10-06",1121,1,42.13,"Churned"
422,"2025-04-02",212,1,122.43,"Churned"
423,"2022-08-22",1166,2,165.30,"Churned"
424,"2025-01-22",282,1,17.34,"Churned"
425,"2022-11-20",1076,3,105.20,"Churned"
426,"2025-10-14",17,2,305.43,"Active"
428,"2024-03-26",584,1,25.71,"Churned"
429,"2025-07-09",114,1,28.59,"Churned"
430,"2024-02-10",629,3,568.53,"Churned"
431,"2025-06-02",151,2,271.08,"Churned"
432,"2025-09-02",59,4,514.57,"At Risk"
433,"2025-10-29",2,3,398.26,"Active"
434,"2025-10-10",21,1,207.64,"Active"
435,"2024-11-25",340,1,52.87,"Churned"
436,"2025-05-24",160,3,431.43,"Churned"
438,"2024-07-26",462,1,37.17,"Churned"
439,"2025-05-06",178,4,207.10,"Churned"
441,"2020-06-21",1958,1,813.98,"Churned"
442,"2021-03-27",1679,1,43.85,"Churned"
443,"2020-05-13",1997,1,10.11,"Churned"
444,"2022-04-17",1293,1,248.16,"Churned"
445,"2020-09-07",1880,1,52.58,"Churned"
449,"2025-07-14",109,1,11.92,"Churned"
450,"2022-01-04",1396,1,85.03,"Churned"
451,"2025-09-28",33,3,380.81,"At Risk"
452,"2020-01-14",2117,1,148.93,"Churned"
453,"2022-11-19",1077,2,145.88,"Churned"
454,"2025-07-29",94,2,206.05,"Churned"
455,"2025-01-17",287,6,1105.20,"Churned"
456,"2024-01-06",664,2,125.47,"Churned"
457,"2025-01-05",299,4,348.70,"Churned"
458,"2023-06-25",859,3,163.92,"Churned"
459,"2025-06-14",139,5,340.08,"Churned"
463,"2024-06-09",509,2,544.51,"Churned"
465,"2025-05-01",183,2,82.91,"Churned"
466,"2024-07-08",480,2,97.30,"Churned"
467,"2025-04-03",211,1,7.98,"Churned"
469,"2024-10-11",385,2,448.52,"Churned"
470,"2024-07-25",463,1,150.37,"Churned"
472,"2024-05-17",532,3,523.71,"Churned"
474,"2024-06-23",495,2,431.03,"Churned"
475,"2025-10-09",22,4,785.36,"Active"
476,"2024-01-24",646,2,220.88,"Churned"
477,"2024-05-28",521,5,321.01,"Churned"
478,"2020-12-16",1780,2,127.07,"Churned"
479,"2022-01-16",1384,1,109.67,"Churned"
481,"2023-12-19",682,3,368.36,"Churned"
482,"2024-01-16",654,3,742.42,"Churned"
483,"2025-08-29",63,4,563.77,"At Risk"
484,"2022-12-18",1048,2,306.15,"Churned"
485,"2024-12-15",320,4,323.10,"Churned"
487,"2024-07-21",467,2,774.50,"Churned"
488,"2023-03-12",964,3,352.45,"Churned"
489,"2025-09-11",50,4,173.73,"At Risk"
490,"2025-08-15",77,1,57.72,"At Risk"
493,"2025-08-11",81,3,384.10,"At Risk"
494,"2023-02-25",979,1,217.85,"Churned"
495,"2025-09-28",33,5,345.51,"At Risk"
496,"2024-11-10",355,3,384.93,"Churned"
497,"2023-12-10",691,2,438.76,"Churned"
498,"2025-10-14",17,5,941.15,"Active"
499,"2022-02-04",1365,3,519.80,"Churned"
500,"2025-07-29",94,3,364.54,"Churned"
502,"2020-04-08",2032,1,159.49,"Churned"
503,"2022-07-19",1200,5,2100.96,"Churned"
504,"2025-04-27",187,3,405.38,"Churned"
505,"2023-12-21",680,4,705.02,"Churned"
506,"2025-08-18",74,2,257.02,"At Risk"
507,"2021-09-26",1496,1,375.01,"Churned"
508,"2025-10-21",10,2,502.09,"Active"
509,"2024-03-29",581,2,256.16,"Churned"
510,"2022-03-13",1328,3,728.95,"Churned"
511,"2022-02-25",1344,1,73.44,"Churned"
512,"2023-05-28",887,1,89.90,"Churned"
513,"2024-06-16",502,2,213.52,"Churned"
514,"2025-01-04",300,2,182.92,"Churned"
515,"2024-11-01",364,3,747.64,"Churned"
516,"2020-07-03",1946,1,35.48,"Churned"
518,"2025-07-30",93,5,227.76,"Churned"
519,"2023-08-03",820,3,122.53,"Churned"
520,"2021-06-17",1597,1,66.78,"Churned"
521,"2020-06-03",1976,1,59.77,"Churned"
523,"2024-07-25",463,2,116.15,"Churned"
524,"2024-11-01",364,3,479.61,"Churned"
525,"2022-12-14",1052,1,275.50,"Churned"
527,"2021-12-17",1414,2,110.59,"Churned"
528,"2024-02-19",620,2,173.12,"Churned"
529,"2020-10-22",1835,1,6.93,"Churned"
531,"2024-08-01",456,5,310.08,"Churned"
533,"2025-09-17",44,4,383.93,"At Risk"
536,"2025-05-31",153,3,432.58,"Churned"
537,"2024-06-18",500,1,25.51,"Churned"
538,"2020-02-27",2073,1,84.31,"Churned"
540,"2021-10-06",1486,2,350.04,"Churned"
541,"2024-11-08",357,1,47.24,"Churned"
542,"2022-08-23",1165,2,570.47,"Churned"
543,"2025-09-26",35,3,168.63,"At Risk"
545,"2021-11-23",1438,2,309.25,"Churned"
546,"2025-01-30",274,1,42.58,"Churned"
547,"2024-02-04",635,2,242.24,"Churned"
548,"2024-06-05",513,1,15.86,"Churned"
549,"2021-10-31",1461,2,142.38,"Churned"
550,"2020-02-06",2094,1,684.68,"Churned"
551,"2020-09-19",1868,1,471.96,"Churned"
552,"2021-05-23",1622,3,329.31,"Churned"
553,"2025-03-14",231,1,137.54,"Churned"
554,"2024-10-28",368,1,508.23,"Churned"
555,"2025-06-16",137,3,253.93,"Churned"
556,"2023-04-08",937,1,40.57,"Churned"
557,"2025-03-15",230,3,501.10,"Churned"
558,"2024-03-23",587,1,35.76,"Churned"
560,"2025-09-10",51,1,140.37,"At Risk"
562,"2025-05-19",165,1,307.53,"Churned"
564,"2024-08-12",445,1,16.09,"Churned"
565,"2023-01-27",1008,2,356.78,"Churned"
566,"2024-02-05",634,3,698.71,"Churned"
567,"2025-08-12",80,1,19.56,"At Risk"
569,"2021-11-25",1436,2,119.02,"Churned"
570,"2023-07-24",830,1,17.78,"Churned"
571,"2023-08-20",803,4,477.16,"Churned"
572,"2022-12-02",1064,1,289.64,"Churned"
573,"2024-09-14",412,2,757.79,"Churned"
575,"2021-12-04",1427,1,79.58,"Churned"
576,"2021-03-12",1694,1,93.06,"Churned"
577,"2023-01-16",1019,1,86.29,"Churned"
578,"2025-05-15",169,2,552.56,"Churned"
579,"2021-02-02",1732,1,24.47,"Churned"
582,"2023-03-07",969,1,88.93,"Churned"
583,"2020-03-30",2041,1,356.66,"Churned"
584,"2024-03-08",602,2,139.67,"Churned"
585,"2024-11-01",364,3,103.98,"Churned"
586,"2023-10-13",749,2,169.78,"Churned"
587,"2025-02-18",255,3,651.41,"Churned"
588,"2023-07-09",845,1,136.67,"Churned"
589,"2022-01-11",1389,1,23.83,"Churned"
590,"2025-09-04",57,4,374.37,"At Risk"
591,"2025-04-01",213,4,603.29,"Churned"
593,"2025-08-31",61,2,385.31,"At Risk"
594,"2024-06-16",502,4,221.83,"Churned"
595,"2025-05-05",179,5,371.78,"Churned"
597,"2025-03-17",228,1,516.40,"Churned"
598,"2024-07-15",473,3,298.85,"Churned"
599,"2023-11-13",718,2,328.52,"Churned"
602,"2023-04-12",933,1,100.77,"Churned"
605,"2023-10-17",745,4,401.64,"Churned"
606,"2023-10-14",748,2,740.97,"Churned"
608,"2024-02-03",636,3,209.26,"Churned"
609,"2025-05-11",173,3,527.07,"Churned"
610,"2022-12-23",1043,2,145.29,"Churned"
611,"2023-02-04",1000,1,597.26,"Churned"
612,"2024-04-29",550,5,1055.32,"Churned"
613,"2020-04-19",2021,1,515.82,"Churned"
614,"2022-01-09",1391,3,466.38,"Churned"
615,"2023-02-03",1001,2,334.42,"Churned"
616,"2020-02-15",2085,1,202.41,"Churned"
617,"2021-11-03",1458,1,31.09,"Churned"
618,"2021-12-13",1418,1,39.60,"Churned"
619,"2024-02-11",628,2,622.93,"Churned"
624,"2022-01-10",1390,1,37.77,"Churned"
626,"2025-05-18",166,3,188.42,"Churned"
629,"2025-06-12",141,2,271.02,"Churned"
630,"2025-06-24",129,1,3.32,"Churned"
631,"2024-01-09",661,2,220.86,"Churned"
632,"2021-01-07",1758,3,611.69,"Churned"
634,"2025-07-14",109,2,1300.17,"Churned"
635,"2025-09-13",48,2,337.37,"At Risk"
636,"2023-04-06",939,2,184.54,"Churned"
637,"2025-07-17",106,2,601.77,"Churned"
638,"2023-01-22",1013,4,568.65,"Churned"
640,"2022-02-21",1348,1,11.64,"Churned"
641,"2025-03-22",223,1,52.89,"Churned"
642,"2024-12-28",307,1,27.12,"Churned"
643,"2025-04-17",197,4,248.51,"Churned"
644,"2024-08-27",430,5,936.92,"Churned"
645,"2023-05-31",884,2,273.41,"Churned"
646,"2023-09-06",786,3,415.99,"Churned"
647,"2022-06-15",1234,1,31.86,"Churned"
649,"2025-06-24",129,1,12.97,"Churned"
650,"2021-04-17",1658,1,79.62,"Churned"
651,"2025-08-31",61,2,364.51,"At Risk"
652,"2024-08-31",426,2,200.09,"Churned"
653,"2023-01-05",1030,4,718.90,"Churned"
654,"2024-05-08",541,3,339.24,"Churned"
655,"2023-01-10",1025,2,143.83,"Churned"
656,"2025-04-04",210,2,178.98,"Churned"
657,"2023-07-21",833,2,326.79,"Churned"
658,"2022-04-08",1302,1,120.95,"Churned"
659,"2023-01-21",1014,2,435.18,"Churned"
660,"2024-09-06",420,3,270.98,"Churned"
662,"2025-10-01",30,4,244.03,"Active"
663,"2022-07-07",1212,4,296.75,"Churned"
664,"2024-03-14",596,2,251.52,"Churned"
665,"2022-07-21",1198,1,361.61,"Churned"
666,"2023-12-02",699,3,130.15,"Churned"
667,"2021-06-02",1612,2,30.33,"Churned"
668,"2024-08-15",442,2,109.45,"Churned"
669,"2022-08-29",1159,3,171.43,"Churned"
670,"2024-11-18",347,2,85.86,"Churned"
672,"2021-02-10",1724,1,127.01,"Churned"
673,"2024-03-31",579,2,128.33,"Churned"
674,"2023-03-30",946,1,28.57,"Churned"
675,"2023-08-14",809,1,23.70,"Churned"
676,"2021-09-28",1494,1,185.24,"Churned"
677,"2022-06-03",1246,1,223.87,"Churned"
680,"2023-05-10",905,2,570.66,"Churned"
681,"2023-10-25",737,1,103.44,"Churned"
682,"2025-02-01",272,1,109.01,"Churned"
683,"2023-10-26",736,1,195.58,"Churned"
684,"2025-01-19",285,3,225.71,"Churned"
685,"2024-02-11",628,5,675.84,"Churned"
686,"2022-05-14",1266,2,103.14,"Churned"
688,"2020-12-29",1767,1,46.29,"Churned"
689,"2025-02-28",245,1,205.72,"Churned"
691,"2025-08-30",62,3,307.62,"At Risk"
692,"2025-10-02",29,3,298.52,"Active"
693,"2023-12-28",673,2,262.50,"Churned"
694,"2025-05-31",153,1,590.75,"Churned"
695,"2023-03-11",965,4,195.59,"Churned"
696,"2024-10-18",378,1,181.92,"Churned"
697,"2021-09-15",1507,2,213.02,"Churned"
698,"2023-07-13",841,2,472.56,"Churned"
699,"2023-11-22",709,2,102.16,"Churned"
701,"2023-04-26",919,1,405.24,"Churned"
702,"2025-05-01",183,2,175.06,"Churned"
703,"2025-06-11",142,4,427.01,"Churned"
704,"2025-10-06",25,1,161.42,"Active"
705,"2025-02-01",272,1,15.18,"Churned"
706,"2021-08-31",1522,2,383.94,"Churned"
707,"2024-07-18",470,3,306.03,"Churned"
708,"2025-08-14",78,4,169.14,"At Risk"
709,"2023-09-18",774,1,23.83,"Churned"
710,"2020-08-31",1887,1,35.43,"Churned"
