"customer_id","last_order_date","recency_days","frequency","monetary_value","recency_score","frequency_score","monetary_score","rfm_score"
2616,"2020-02-21",2285,1,23.21,1,2,1,"1,2,1"
6288,"2020-02-22",2284,1,103.92,1,2,2,"1,2,2"
17951,"2020-02-22",2284,1,250.91,1,1,3,"1,1,3"
15214,"2020-02-23",2283,1,1002.36,1,1,5,"1,1,5"
13206,"2020-02-23",2283,1,30.12,1,2,1,"1,2,1"
11912,"2020-02-23",2283,1,189.25,1,1,3,"1,1,3"
13336,"2020-02-23",2283,1,399.74,1,1,4,"1,1,4"
8765,"2020-02-23",2283,1,135.31,1,2,2,"1,2,2"
5935,"2020-02-23",2283,1,64.90,1,1,1,"1,1,1"
19156,"2020-02-23",2283,1,31.64,1,2,1,"1,2,1"
15320,"2020-02-25",2281,1,17.19,1,2,1,"1,2,1"
16359,"2020-02-25",2281,1,27.68,1,2,1,"1,2,1"
14453,"2020-02-26",2280,1,44.46,1,1,1,"1,1,1"
8571,"2020-02-26",2280,1,25.08,1,2,1,"1,2,1"
13732,"2020-02-26",2280,1,40.68,1,1,1,"1,1,1"
3478,"2020-02-26",2280,1,99.27,1,2,2,"1,2,2"
538,"2020-02-27",2279,1,84.31,1,2,2,"1,2,2"
1822,"2020-02-27",2279,1,132.77,1,2,2,"1,2,2"
9733,"2020-02-27",2279,1,133.26,1,2,2,"1,2,2"
18032,"2020-02-28",2278,1,255.52,1,1,3,"1,1,3"
4673,"2020-02-28",2278,1,220.78,1,1,3,"1,1,3"
8093,"2020-02-29",2277,1,62.08,1,1,1,"1,1,1"
5495,"2020-02-29",2277,1,69.04,1,1,1,"1,1,1"
10563,"2020-03-01",2276,1,90.57,1,2,2,"1,2,2"
977,"2020-03-01",2276,2,276.42,1,3,4,"1,3,4"
12094,"2020-03-02",2275,1,249.31,1,1,3,"1,1,3"
11877,"2020-03-02",2275,1,22.23,1,2,1,"1,2,1"
11855,"2020-03-02",2275,1,15.99,1,2,1,"1,2,1"
2920,"2020-03-04",2273,1,229.70,1,1,3,"1,1,3"
6894,"2020-03-04",2273,1,189.70,1,1,3,"1,1,3"
6762,"2020-03-05",2272,1,121.75,1,2,2,"1,2,2"
16513,"2020-03-05",2272,1,104.40,1,2,2,"1,2,2"
19067,"2020-03-05",2272,1,192.15,1,1,3,"1,1,3"
17766,"2020-03-05",2272,1,5.63,1,2,1,"1,2,1"
6380,"2020-03-06",2271,1,141.03,1,2,2,"1,2,2"
18261,"2020-03-06",2271,1,128.62,1,2,2,"1,2,2"
379,"2020-03-07",2270,1,50.05,1,1,1,"1,1,1"
12763,"2020-03-07",2270,1,7.47,1,1,1,"1,1,1"
17807,"2020-03-07",2270,1,102.24,1,2,2,"1,2,2"
16431,"2020-03-08",2269,1,258.01,1,1,4,"1,1,4"
6796,"2020-03-09",2268,1,85.74,1,2,2,"1,2,2"
5583,"2020-03-10",2267,1,117.24,1,2,2,"1,2,2"
16255,"2020-03-10",2267,1,52.06,1,1,1,"1,1,1"
15752,"2020-03-10",2267,1,94.49,1,2,2,"1,2,2"
19426,"2020-03-10",2267,1,154.14,1,1,3,"1,1,3"
13290,"2020-03-10",2267,1,118.71,1,2,2,"1,2,2"
14403,"2020-03-11",2266,1,70.45,1,1,1,"1,1,1"
13243,"2020-03-11",2266,1,73.78,1,2,2,"1,2,2"
5773,"2020-03-11",2266,1,18.52,1,2,1,"1,2,1"
12784,"2020-03-12",2265,2,179.86,1,3,3,"1,3,3"
13709,"2020-03-12",2265,1,63.27,1,1,1,"1,1,1"
5499,"2020-03-13",2264,1,159.80,1,1,3,"1,1,3"
1619,"2020-03-13",2264,1,42.34,1,1,1,"1,1,1"
6975,"2020-03-13",2264,1,72.00,1,1,1,"1,1,1"
11174,"2020-03-14",2263,1,241.63,1,1,3,"1,1,3"
12920,"2020-03-14",2263,1,10.64,1,1,1,"1,1,1"
12754,"2020-03-15",2262,1,22.57,1,2,1,"1,2,1"
3606,"2020-03-16",2261,1,137.77,1,2,2,"1,2,2"
3305,"2020-03-16",2261,1,54.45,1,1,1,"1,1,1"
16259,"2020-03-17",2260,1,11.57,1,1,1,"1,1,1"
7728,"2020-03-17",2260,1,137.12,1,2,2,"1,2,2"
7500,"2020-03-17",2260,1,70.12,1,1,1,"1,1,1"
4545,"2020-03-17",2260,1,70.70,1,1,1,"1,1,1"
3659,"2020-03-18",2259,1,155.97,1,1,3,"1,1,3"
13698,"2020-03-19",2258,1,234.48,1,1,3,"1,1,3"
4219,"2020-03-19",2258,1,179.83,1,1,3,"1,1,3"
12558,"2020-03-19",2258,1,40.96,1,1,1,"1,1,1"
9408,"2020-03-20",2257,1,203.88,1,1,3,"1,1,3"
14993,"2020-03-21",2256,1,68.78,1,1,1,"1,1,1"
13515,"2020-03-21",2256,1,236.26,1,1,3,"1,1,3"
17081,"2020-03-21",2256,1,90.62,1,2,2,"1,2,2"
18752,"2020-03-22",2255,1,79.83,1,2,2,"1,2,2"
9942,"2020-03-22",2255,1,204.12,1,1,3,"1,1,3"
10086,"2020-03-22",2255,1,27.21,1,2,1,"1,2,1"
18332,"2020-03-23",2254,1,628.12,1,2,5,"1,2,5"
12172,"2020-03-24",2253,1,167.70,1,1,3,"1,1,3"
14738,"2020-03-24",2253,1,4.96,1,2,1,"1,2,1"
1273,"2020-03-25",2252,1,87.64,1,2,2,"1,2,2"
9526,"2020-03-25",2252,1,79.06,1,2,2,"1,2,2"
7510,"2020-03-26",2251,1,44.43,1,1,1,"1,1,1"
12700,"2020-03-26",2251,1,383.96,1,1,4,"1,1,4"
13631,"2020-03-26",2251,1,29.76,1,2,1,"1,2,1"
347,"2020-03-26",2251,1,259.60,1,1,4,"1,1,4"
7651,"2020-03-27",2250,1,272.52,1,1,4,"1,1,4"
18221,"2020-03-27",2250,1,205.48,1,1,3,"1,1,3"
4047,"2020-03-27",2250,1,26.76,1,2,1,"1,2,1"
4221,"2020-03-28",2249,1,96.72,1,2,2,"1,2,2"
16933,"2020-03-28",2249,2,107.61,1,3,2,"1,3,2"
19464,"2020-03-28",2249,1,16.28,1,2,1,"1,2,1"
6636,"2020-03-28",2249,2,361.41,1,4,4,"1,4,4"
8156,"2020-03-28",2249,2,433.16,1,4,5,"1,4,5"
8401,"2020-03-29",2248,1,43.01,1,1,1,"1,1,1"
17130,"2020-03-29",2248,1,116.90,1,2,2,"1,2,2"
14441,"2020-03-29",2248,3,298.83,1,4,4,"1,4,4"
6842,"2020-03-29",2248,1,63.36,1,1,1,"1,1,1"
8614,"2020-03-29",2248,1,36.98,1,2,1,"1,2,1"
14313,"2020-03-29",2248,1,89.84,1,2,2,"1,2,2"
18165,"2020-03-29",2248,1,324.24,1,1,4,"1,1,4"
2935,"2020-03-30",2247,1,115.09,1,2,2,"1,2,2"
583,"2020-03-30",2247,1,356.66,1,1,4,"1,1,4"
10318,"2020-03-30",2247,1,46.12,1,1,1,"1,1,1"
3485,"2020-03-30",2247,1,43.88,1,1,1,"1,1,1"
7191,"2020-03-31",2246,1,151.12,1,1,2,"1,1,2"
11543,"2020-03-31",2246,1,171.78,1,1,3,"1,1,3"
6195,"2020-03-31",2246,1,392.73,1,1,4,"1,1,4"
9430,"2020-04-01",2245,1,84.22,1,2,2,"1,2,2"
13594,"2020-04-01",2245,1,90.58,1,2,2,"1,2,2"
7801,"2020-04-01",2245,1,454.26,1,2,5,"1,2,5"
10716,"2020-04-01",2245,1,60.04,1,1,1,"1,1,1"
4006,"2020-04-02",2244,1,214.92,1,1,3,"1,1,3"
3376,"2020-04-02",2244,1,136.87,1,2,2,"1,2,2"
15082,"2020-04-02",2244,1,79.83,1,2,2,"1,2,2"
3721,"2020-04-02",2244,1,97.25,1,2,2,"1,2,2"
12187,"2020-04-02",2244,1,100.62,1,2,2,"1,2,2"
14521,"2020-04-03",2243,1,53.79,1,1,1,"1,1,1"
1345,"2020-04-03",2243,1,39.99,1,1,1,"1,1,1"
8365,"2020-04-03",2243,1,50.99,1,1,1,"1,1,1"
9081,"2020-04-03",2243,1,120.83,1,2,2,"1,2,2"
18061,"2020-04-04",2242,1,36.62,1,2,1,"1,2,1"
17526,"2020-04-04",2242,1,55.07,1,1,1,"1,1,1"
16669,"2020-04-04",2242,1,141.92,1,2,2,"1,2,2"
11473,"2020-04-04",2242,1,56.04,1,1,1,"1,1,1"
8752,"2020-04-05",2241,1,78.80,1,2,2,"1,2,2"
13098,"2020-04-05",2241,1,659.63,1,2,5,"1,2,5"
16995,"2020-04-05",2241,2,157.53,1,3,3,"1,3,3"
19620,"2020-04-06",2240,1,396.48,1,1,4,"1,1,4"
10505,"2020-04-06",2240,1,298.63,1,1,4,"1,1,4"
14267,"2020-04-06",2240,1,129.65,1,2,2,"1,2,2"
9966,"2020-04-07",2239,1,63.25,1,1,1,"1,1,1"
18886,"2020-04-07",2239,1,8.32,1,1,1,"1,1,1"
12861,"2020-04-07",2239,2,217.74,1,3,3,"1,3,3"
10977,"2020-04-08",2238,1,188.61,1,1,3,"1,1,3"
502,"2020-04-08",2238,1,159.49,1,1,3,"1,1,3"
10443,"2020-04-08",2238,1,366.82,1,1,4,"1,1,4"
12860,"2020-04-08",2238,1,6.15,1,2,1,"1,2,1"
12587,"2020-04-08",2238,2,382.69,1,4,4,"1,4,4"
1795,"2020-04-09",2237,1,34.03,1,2,1,"1,2,1"
15102,"2020-04-10",2236,1,39.84,1,1,1,"1,1,1"
16258,"2020-04-10",2236,1,188.28,1,1,3,"1,1,3"
14073,"2020-04-10",2236,1,105.12,1,2,2,"1,2,2"
14782,"2020-04-11",2235,1,140.73,1,2,2,"1,2,2"
6039,"2020-04-11",2235,1,185.12,1,1,3,"1,1,3"
9454,"2020-04-11",2235,1,1089.48,1,1,5,"1,1,5"
7624,"2020-04-12",2234,1,108.10,1,2,2,"1,2,2"
8056,"2020-04-12",2234,1,15.18,1,2,1,"1,2,1"
6371,"2020-04-12",2234,1,47.75,1,1,1,"1,1,1"
13357,"2020-04-13",2233,1,13.67,1,1,1,"1,1,1"
9587,"2020-04-13",2233,2,701.14,1,4,5,"1,4,5"
6722,"2020-04-13",2233,1,6.98,1,2,1,"1,2,1"
8963,"2020-04-14",2232,1,154.99,1,1,3,"1,1,3"
17579,"2020-04-15",2231,1,55.10,1,1,1,"1,1,1"
6590,"2020-04-15",2231,1,122.32,1,2,2,"1,2,2"
16181,"2020-04-15",2231,1,92.02,1,2,2,"1,2,2"
10653,"2020-04-17",2229,1,57.63,1,1,1,"1,1,1"
12313,"2020-04-17",2229,1,1170.68,1,1,5,"1,1,5"
2179,"2020-04-19",2227,1,67.76,1,1,1,"1,1,1"
1315,"2020-04-19",2227,1,68.30,1,1,1,"1,1,1"
613,"2020-04-19",2227,1,515.82,1,2,5,"1,2,5"
13786,"2020-04-19",2227,1,40.37,1,1,1,"1,1,1"
1323,"2020-04-19",2227,1,117.41,1,2,2,"1,2,2"
18285,"2020-04-20",2226,1,5.93,1,2,1,"1,2,1"
15275,"2020-04-20",2226,1,139.13,1,2,2,"1,2,2"
2165,"2020-04-20",2226,1,195.87,1,1,3,"1,1,3"
1928,"2020-04-20",2226,1,162.26,1,1,3,"1,1,3"
16647,"2020-04-20",2226,1,36.00,1,2,1,"1,2,1"
6533,"2020-04-20",2226,1,120.26,1,2,2,"1,2,2"
227,"2020-04-23",2223,1,82.47,1,2,2,"1,2,2"
7384,"2020-04-23",2223,1,210.89,1,1,3,"1,1,3"
9361,"2020-04-23",2223,1,183.20,1,1,3,"1,1,3"
19055,"2020-04-24",2222,1,30.02,1,2,1,"1,2,1"
17960,"2020-04-24",2222,2,147.19,1,3,2,"1,3,2"
7530,"2020-04-25",2221,1,44.85,1,1,1,"1,1,1"
11955,"2020-04-25",2221,2,361.43,1,4,4,"1,4,4"
15947,"2020-04-25",2221,2,374.47,1,4,4,"1,4,4"
18693,"2020-04-26",2220,1,86.96,1,2,2,"1,2,2"
10998,"2020-04-26",2220,1,29.92,1,2,1,"1,2,1"
7453,"2020-04-27",2219,1,172.99,1,1,3,"1,1,3"
18263,"2020-04-27",2219,1,49.13,1,1,1,"1,1,1"
2072,"2020-04-27",2219,1,63.04,1,1,1,"1,1,1"
14589,"2020-04-27",2219,1,81.88,1,2,2,"1,2,2"
1906,"2020-04-28",2218,1,382.84,1,1,4,"1,1,4"
5622,"2020-04-28",2218,1,63.92,1,1,1,"1,1,1"
18234,"2020-04-28",2218,1,201.67,1,1,3,"1,1,3"
10093,"2020-04-28",2218,2,258.59,1,3,4,"1,3,4"
4946,"2020-04-29",2217,1,81.10,1,2,2,"1,2,2"
14183,"2020-04-29",2217,2,249.58,1,3,3,"1,3,3"
18342,"2020-04-30",2216,1,12.17,1,1,1,"1,1,1"
3538,"2020-04-30",2216,1,38.71,1,2,1,"1,2,1"
15952,"2020-04-30",2216,2,238.82,1,3,3,"1,3,3"
14723,"2020-05-01",2215,1,155.68,1,1,3,"1,1,3"
18747,"2020-05-01",2215,1,119.82,1,2,2,"1,2,2"
4766,"2020-05-01",2215,1,103.64,1,2,2,"1,2,2"
1760,"2020-05-01",2215,1,65.48,1,1,1,"1,1,1"
4045,"2020-05-02",2214,1,357.04,1,1,4,"1,1,4"
15630,"2020-05-02",2214,1,356.62,1,1,4,"1,1,4"
11430,"2020-05-03",2213,1,81.98,1,2,2,"1,2,2"
10967,"2020-05-03",2213,1,131.70,1,2,2,"1,2,2"
1844,"2020-05-03",2213,1,14.31,1,1,1,"1,1,1"
6611,"2020-05-04",2212,1,8.15,1,1,1,"1,1,1"
967,"2020-05-04",2212,1,10.55,1,1,1,"1,1,1"
3506,"2020-05-04",2212,1,63.61,1,1,1,"1,1,1"
6716,"2020-05-04",2212,1,81.22,1,2,2,"1,2,2"
7383,"2020-05-04",2212,1,132.38,1,2,2,"1,2,2"
16796,"2020-05-05",2211,2,205.81,1,3,3,"1,3,3"
19447,"2020-05-06",2210,1,175.56,1,1,3,"1,1,3"
2504,"2020-05-06",2210,1,142.68,1,2,2,"1,2,2"
5911,"2020-05-06",2210,1,149.40,1,1,2,"1,1,2"
8587,"2020-05-06",2210,1,234.90,1,1,3,"1,1,3"
19511,"2020-05-06",2210,1,56.57,1,1,1,"1,1,1"
10174,"2020-05-06",2210,1,70.59,1,1,1,"1,1,1"
7852,"2020-05-08",2208,1,47.19,1,1,1,"1,1,1"
15389,"2020-05-09",2207,1,21.61,1,2,1,"1,2,1"
16048,"2020-05-09",2207,1,264.40,1,1,4,"1,1,4"
16476,"2020-05-09",2207,1,18.03,1,2,1,"1,2,1"
8942,"2020-05-09",2207,1,7.39,1,1,1,"1,1,1"
2730,"2020-05-10",2206,1,110.02,1,2,2,"1,2,2"
16279,"2020-05-10",2206,1,23.43,1,2,1,"1,2,1"
10355,"2020-05-10",2206,1,206.80,1,1,3,"1,1,3"
4691,"2020-05-10",2206,1,24.33,1,2,1,"1,2,1"
15852,"2020-05-11",2205,1,104.47,1,2,2,"1,2,2"
19637,"2020-05-11",2205,1,299.50,1,1,4,"1,1,4"
17990,"2020-05-11",2205,1,109.89,1,2,2,"1,2,2"
2366,"2020-05-12",2204,1,78.10,1,2,2,"1,2,2"
1134,"2020-05-12",2204,1,543.71,1,2,5,"1,2,5"
443,"2020-05-13",2203,1,10.11,1,1,1,"1,1,1"
5316,"2020-05-13",2203,1,5.41,1,2,1,"1,2,1"
18477,"2020-05-13",2203,1,764.73,1,2,5,"1,2,5"
2432,"2020-05-13",2203,1,145.97,1,1,2,"1,1,2"
19718,"2020-05-13",2203,1,11.02,1,1,1,"1,1,1"
13535,"2020-05-14",2202,1,47.45,1,1,1,"1,1,1"
2652,"2020-05-14",2202,1,81.92,1,2,2,"1,2,2"
18253,"2020-05-14",2202,2,225.78,1,3,3,"1,3,3"
3367,"2020-05-15",2201,1,197.28,1,1,3,"1,1,3"
2464,"2020-05-15",2201,1,74.16,1,2,2,"1,2,2"
10296,"2020-05-15",2201,1,95.79,1,2,2,"1,2,2"
6493,"2020-05-16",2200,1,27.47,1,2,1,"1,2,1"
16590,"2020-05-16",2200,1,84.83,1,2,2,"1,2,2"
10039,"2020-05-17",2199,1,81.23,1,2,2,"1,2,2"
15151,"2020-05-17",2199,1,329.88,1,1,4,"1,1,4"
4038,"2020-05-18",2198,1,12.96,1,1,1,"1,1,1"
14364,"2020-05-19",2197,1,5.73,1,2,1,"1,2,1"
16459,"2020-05-20",2196,1,467.67,1,2,5,"1,2,5"
9877,"2020-05-21",2195,3,747.47,1,4,5,"1,4,5"
4697,"2020-05-21",2195,2,187.54,1,3,3,"1,3,3"
14102,"2020-05-22",2194,1,33.76,1,2,1,"1,2,1"
11264,"2020-05-22",2194,1,79.16,1,2,2,"1,2,2"
1958,"2020-05-22",2194,1,145.90,1,1,2,"1,1,2"
12975,"2020-05-23",2193,1,57.57,1,1,1,"1,1,1"
11973,"2020-05-23",2193,1,167.95,1,1,3,"1,1,3"
19276,"2020-05-23",2193,1,211.50,1,1,3,"1,1,3"
14117,"2020-05-23",2193,1,134.53,1,2,2,"1,2,2"
6069,"2020-05-23",2193,2,82.67,1,3,2,"1,3,2"
1049,"2020-05-24",2192,2,372.59,1,4,4,"1,4,4"
8965,"2020-05-24",2192,1,51.86,1,1,1,"1,1,1"
14338,"2020-05-24",2192,1,116.25,1,2,2,"1,2,2"
4848,"2020-05-25",2191,1,44.98,1,1,1,"1,1,1"
2907,"2020-05-25",2191,1,8.07,1,1,1,"1,1,1"
19877,"2020-05-25",2191,1,8.07,1,1,1,"1,1,1"
7744,"2020-05-26",2190,1,66.30,1,1,1,"1,1,1"
13273,"2020-05-26",2190,1,59.00,1,1,1,"1,1,1"
10492,"2020-05-26",2190,1,7.35,1,1,1,"1,1,1"
5330,"2020-05-27",2189,1,30.96,1,2,1,"1,2,1"
12087,"2020-05-27",2189,1,24.87,1,2,1,"1,2,1"
5922,"2020-05-27",2189,2,937.94,1,4,5,"1,4,5"
13925,"2020-05-27",2189,1,68.67,1,1,1,"1,1,1"
17513,"2020-05-27",2189,1,51.71,1,1,1,"1,1,1"
19621,"2020-05-28",2188,1,23.38,1,2,1,"1,2,1"
2548,"2020-05-28",2188,1,60.40,1,1,1,"1,1,1"
11777,"2020-05-29",2187,1,260.59,1,1,4,"1,1,4"
