"customer_id","first_order_date","last_order_date","customer_lifespan_days","total_orders","avg_order_value","lifetime_revenue","revenue_per_order"
58,"2020-11-14","2023-07-09",967,2,123.18,246.35,123.18
59,"2022-02-28","2022-02-28",0,1,81.92,81.92,81.92
60,"2020-04-16","2023-10-31",1293,3,63.72,191.16,63.72
61,"2022-09-02","2025-09-06",1100,3,96.16,288.47,96.16
62,"2020-05-21","2021-06-29",404,3,131.33,393.98,131.33
63,"2024-04-07","2024-04-07",0,1,239.32,239.32,239.32
64,"2023-10-02","2023-10-02",0,1,32.27,32.27,32.27
65,"2023-11-10","2023-11-10",0,1,64.69,64.69,64.69
66,"2020-01-11","2022-12-03",1057,2,155.97,311.93,155.97
68,"2020-12-28","2021-08-23",238,2,98.16,196.32,98.16
69,"2020-05-05","2025-05-19",1840,2,251.40,502.80,251.40
70,"2020-03-18","2023-02-12",1061,3,44.24,132.72,44.24
72,"2022-02-14","2024-07-13",880,2,107.75,215.50,107.75
73,"2020-09-04","2023-08-03",1063,2,183.93,367.86,183.93
74,"2021-02-22","2024-12-07",1384,5,85.92,429.62,85.92
75,"2025-08-14","2025-08-14",0,1,589.54,589.54,589.54
76,"2020-03-23","2022-11-02",954,3,102.05,306.15,102.05
78,"2023-07-04","2025-03-27",632,2,181.13,362.26,181.13
79,"2022-12-06","2024-06-09",551,3,295.88,887.65,295.88
80,"2021-01-20","2025-09-25",1709,2,183.73,367.45,183.73
81,"2020-12-22","2024-07-07",1293,5,66.98,334.92,66.98
82,"2024-05-05","2024-05-05",0,1,37.63,37.63,37.63
85,"2022-02-20","2022-02-20",0,1,75.05,75.05,75.05
86,"2022-06-24","2022-06-24",0,1,245.08,245.08,245.08
91,"2021-12-14","2025-08-20",1345,5,145.54,727.71,145.54
92,"2021-12-01","2025-08-30",1368,4,86.07,344.28,86.07
93,"2020-05-04","2021-06-26",418,2,63.39,126.78,63.39
94,"2021-08-21","2021-08-21",0,1,407.08,407.08,407.08
95,"2022-05-17","2025-02-08",998,2,250.24,500.47,250.24
97,"2020-11-17","2022-08-31",652,2,139.12,278.23,139.12
98,"2022-01-07","2022-01-07",0,1,59.52,59.52,59.52
99,"2021-11-09","2025-09-26",1417,4,182.73,730.92,182.73
100,"2020-10-23","2024-03-02",1226,4,74.35,297.38,74.35
101,"2021-06-29","2025-03-11",1351,4,150.39,601.57,150.39
102,"2021-01-03","2024-12-10",1437,4,101.04,404.15,101.04
103,"2023-06-05","2023-06-05",0,1,12.37,12.37,12.37
104,"2021-09-27","2022-08-24",331,2,72.59,145.17,72.59
105,"2020-01-21","2020-01-21",0,1,324.03,324.03,324.03
106,"2021-11-19","2023-10-29",709,2,50.80,101.59,50.80
107,"2021-02-14","2023-08-20",917,2,198.75,397.49,198.75
108,"2020-04-28","2022-10-22",907,2,226.88,453.75,226.88
109,"2025-06-14","2025-06-14",0,1,1290.44,1290.44,1290.44
110,"2024-05-13","2024-05-13",0,1,30.12,30.12,30.12
112,"2022-08-31","2022-08-31",0,1,44.71,44.71,44.71
113,"2025-04-04","2025-04-04",0,1,50.89,50.89,50.89
114,"2022-07-14","2022-07-14",0,1,202.80,202.80,202.80
117,"2020-01-04","2025-10-01",2097,5,271.17,1355.84,271.17
118,"2022-08-13","2025-03-19",949,3,88.71,266.13,88.71
120,"2021-01-15","2022-05-14",484,2,96.71,193.42,96.71
121,"2020-11-12","2024-05-12",1277,2,80.40,160.79,80.40
123,"2023-07-15","2025-01-27",562,2,80.43,160.86,80.43
124,"2022-03-23","2022-08-20",150,2,108.43,216.86,108.43
127,"2021-12-15","2024-05-20",887,2,209.57,419.14,209.57
128,"2020-05-08","2021-09-08",488,3,67.35,202.05,67.35
129,"2024-05-04","2024-10-09",158,2,179.90,359.80,179.90
130,"2024-06-21","2025-02-14",238,2,61.37,122.73,61.37
133,"2022-05-14","2022-05-14",0,1,90.99,90.99,90.99
134,"2025-05-11","2025-05-11",0,1,243.78,243.78,243.78
135,"2022-04-04","2022-04-04",0,1,7.82,7.82,7.82
138,"2023-10-28","2023-10-28",0,1,15.86,15.86,15.86
140,"2020-12-24","2020-12-24",0,1,215.51,215.51,215.51
141,"2020-12-30","2025-05-20",1602,5,114.70,573.52,114.70
142,"2020-05-29","2022-12-02",917,2,202.92,405.84,202.92
143,"2020-05-15","2025-10-17",1981,3,136.49,409.48,136.49
144,"2024-08-29","2024-12-09",102,2,80.49,160.97,80.49
146,"2020-01-31","2022-02-21",752,3,89.43,268.29,89.43
147,"2023-04-11","2024-06-06",422,3,227.24,681.71,227.24
148,"2025-10-18","2025-10-18",0,1,224.01,224.01,224.01
149,"2022-04-28","2022-04-28",0,1,140.18,140.18,140.18
150,"2020-10-13","2020-10-13",0,1,171.96,171.96,171.96
151,"2022-01-27","2022-01-27",0,1,90.75,90.75,90.75
152,"2021-01-26","2023-02-02",737,3,57.12,171.37,57.12
154,"2020-12-25","2024-10-24",1399,3,48.61,145.83,48.61
155,"2020-11-12","2020-11-12",0,1,39.06,39.06,39.06
156,"2024-06-21","2024-06-21",0,1,30.56,30.56,30.56
157,"2020-02-13","2020-02-13",0,1,325.46,325.46,325.46
158,"2025-09-27","2025-09-27",0,1,50.38,50.38,50.38
160,"2021-06-01","2025-05-21",1450,3,44.66,133.99,44.66
161,"2022-03-15","2022-12-28",288,2,431.42,862.84,431.42
162,"2020-06-04","2023-03-28",1027,3,78.75,236.25,78.75
163,"2023-04-11","2025-07-30",841,2,189.71,379.42,189.71
164,"2020-04-13","2023-05-04",1116,2,95.45,190.90,95.45
165,"2020-06-17","2024-02-13",1336,3,97.94,293.82,97.94
166,"2020-05-11","2022-06-06",756,2,146.71,293.42,146.71
167,"2023-03-27","2023-03-27",0,1,237.34,237.34,237.34
169,"2021-11-06","2024-02-05",821,2,90.45,180.90,90.45
171,"2020-04-08","2025-07-21",1930,3,38.40,115.21,38.40
172,"2020-08-28","2024-07-24",1426,2,272.03,544.05,272.03
173,"2021-03-08","2022-06-11",460,4,143.20,572.79,143.20
174,"2022-05-24","2024-08-06",805,3,174.05,522.14,174.05
175,"2022-01-30","2024-10-29",1003,5,88.27,441.37,88.27
176,"2025-04-09","2025-04-09",0,1,67.32,67.32,67.32
177,"2020-07-17","2020-10-12",87,2,74.73,149.46,74.73
178,"2025-08-02","2025-08-02",0,1,56.09,56.09,56.09
179,"2023-01-01","2023-01-01",0,1,69.45,69.45,69.45
180,"2020-07-10","2020-07-10",0,1,249.08,249.08,249.08
181,"2021-11-01","2023-03-27",511,3,217.80,653.41,217.80
182,"2023-05-18","2023-05-18",0,1,139.43,139.43,139.43
183,"2024-02-16","2024-02-25",9,2,90.58,181.15,90.58
184,"2025-07-14","2025-07-14",0,1,247.08,247.08,247.08
185,"2020-07-10","2024-11-30",1604,3,191.84,575.53,191.84
186,"2022-01-15","2025-02-27",1139,2,100.74,201.48,100.74
187,"2020-01-03","2025-01-26",1850,4,50.86,203.45,50.86
188,"2020-08-10","2024-03-22",1320,4,116.55,466.20,116.55
189,"2022-12-13","2023-09-30",291,2,185.67,371.33,185.67
190,"2022-08-09","2022-08-09",0,1,109.31,109.31,109.31
191,"2021-02-12","2021-02-12",0,1,30.64,30.64,30.64
192,"2021-03-15","2021-03-15",0,1,106.40,106.40,106.40
193,"2022-03-04","2024-10-20",961,2,90.28,180.55,90.28
194,"2020-06-22","2020-06-22",0,1,46.87,46.87,46.87
196,"2020-12-12","2022-08-18",614,2,222.25,444.50,222.25
197,"2020-12-14","2022-03-10",451,2,59.42,118.83,59.42
198,"2024-09-12","2024-09-12",0,1,877.96,877.96,877.96
199,"2020-10-13","2020-10-13",0,1,178.72,178.72,178.72
200,"2021-09-12","2023-05-31",626,2,52.09,104.17,52.09
201,"2021-01-24","2021-01-24",0,1,138.19,138.19,138.19
202,"2023-02-14","2023-02-14",0,1,445.93,445.93,445.93
203,"2022-01-03","2022-01-03",0,1,47.62,47.62,47.62
204,"2025-06-21","2025-06-21",0,1,123.35,123.35,123.35
205,"2020-04-23","2025-07-05",1899,3,88.97,266.91,88.97
206,"2020-07-29","2023-07-01",1067,2,137.67,275.33,137.67
207,"2020-03-29","2021-01-26",303,2,167.68,335.36,167.68
208,"2020-03-12","2024-07-13",1584,4,61.05,244.21,61.05
209,"2020-03-05","2024-04-23",1510,2,257.05,514.09,257.05
210,"2020-09-19","2021-10-29",405,2,247.38,494.76,247.38
211,"2023-04-22","2024-08-04",470,2,75.35,150.69,75.35
212,"2022-10-20","2022-10-20",0,1,76.07,76.07,76.07
214,"2020-01-31","2025-08-14",2022,3,122.25,366.75,122.25
215,"2023-01-10","2023-01-10",0,1,147.06,147.06,147.06
216,"2021-10-24","2025-02-05",1200,2,230.96,461.91,230.96
218,"2023-12-20","2024-11-05",321,2,153.76,307.51,153.76
219,"2022-07-13","2022-07-13",0,1,56.86,56.86,56.86
221,"2021-11-05","2021-11-05",0,1,44.27,44.27,44.27
222,"2020-04-13","2025-09-29",1995,2,54.37,108.74,54.37
223,"2020-04-01","2020-10-20",202,3,68.41,205.22,68.41
224,"2025-09-25","2025-09-25",0,1,100.07,100.07,100.07
225,"2021-12-21","2024-10-28",1042,2,42.32,84.63,42.32
226,"2024-03-28","2025-09-04",525,2,95.42,190.83,95.42
227,"2020-04-23","2020-04-23",0,1,82.47,82.47,82.47
228,"2025-03-20","2025-03-31",11,2,90.42,180.84,90.42
229,"2023-10-05","2023-10-05",0,1,116.54,116.54,116.54
231,"2020-07-17","2020-07-17",0,1,54.03,54.03,54.03
233,"2022-03-21","2022-03-21",0,1,199.88,199.88,199.88
234,"2025-04-30","2025-04-30",0,1,7.26,7.26,7.26
235,"2020-08-16","2020-08-16",0,1,135.36,135.36,135.36
236,"2021-02-26","2025-03-19",1482,3,225.72,677.15,225.72
237,"2021-07-06","2025-04-16",1380,4,173.49,693.97,173.49
238,"2021-07-02","2023-10-12",832,2,142.14,284.27,142.14
239,"2022-06-04","2025-02-13",985,2,393.88,787.76,393.88
240,"2022-12-03","2024-11-15",713,2,24.66,49.32,24.66
241,"2024-04-29","2024-04-29",0,1,41.65,41.65,41.65
243,"2021-02-12","2021-02-12",0,1,233.70,233.70,233.70
244,"2024-11-20","2024-11-20",0,1,45.56,45.56,45.56
246,"2025-07-31","2025-07-31",0,1,228.32,228.32,228.32
247,"2022-01-23","2022-01-23",0,1,51.90,51.90,51.90
248,"2025-08-23","2025-08-23",0,1,96.51,96.51,96.51
250,"2020-07-23","2025-04-03",1715,3,82.55,247.66,82.55
251,"2022-01-02","2022-01-02",0,1,213.07,213.07,213.07
253,"2020-01-25","2025-08-20",2034,3,343.47,1030.41,343.47
254,"2022-03-07","2024-09-22",930,5,102.12,510.58,102.12
255,"2022-07-04","2025-01-10",921,3,61.09,183.28,61.09
256,"2022-12-12","2022-12-12",0,1,172.23,172.23,172.23
257,"2021-09-16","2024-11-23",1164,4,68.51,274.03,68.51
258,"2020-01-01","2020-01-01",0,1,69.26,69.26,69.26
259,"2020-10-30","2020-10-30",0,1,147.49,147.49,147.49
261,"2021-02-07","2021-07-05",148,2,481.23,962.45,481.23
262,"2025-10-29","2025-10-29",0,1,692.35,692.35,692.35
263,"2021-05-19","2025-09-18",1583,3,16.94,50.82,16.94
264,"2021-01-15","2024-11-13",1398,4,80.60,322.40,80.60
265,"2020-01-20","2025-02-17",1855,4,227.66,910.64,227.66
266,"2023-03-24","2023-12-21",272,4,161.98,647.90,161.98
269,"2021-10-21","2025-01-19",1186,2,57.04,114.08,57.04
270,"2025-05-12","2025-10-04",145,2,160.67,321.34,160.67
271,"2022-04-09","2024-04-08",730,2,43.14,86.27,43.14
272,"2023-11-09","2023-11-09",0,1,90.44,90.44,90.44
273,"2021-12-19","2024-03-18",820,2,204.16,408.31,204.16
275,"2021-12-17","2025-10-02",1385,2,84.54,169.07,84.54
276,"2020-08-02","2024-10-27",1547,3,72.42,217.25,72.42
277,"2024-03-26","2024-03-26",0,1,57.89,57.89,57.89
278,"2022-07-04","2024-04-02",638,2,55.59,111.18,55.59
279,"2021-09-20","2023-09-25",735,2,135.35,270.70,135.35
280,"2025-05-25","2025-05-25",0,1,44.18,44.18,44.18
281,"2022-05-11","2024-09-12",855,2,23.96,47.91,23.96
283,"2020-07-14","2024-04-28",1384,2,27.42,54.84,27.42
284,"2022-03-23","2024-05-21",790,2,277.40,554.80,277.40
285,"2020-09-03","2023-10-19",1141,2,73.91,147.82,73.91
286,"2024-02-26","2024-02-26",0,1,372.36,372.36,372.36
288,"2023-12-11","2025-01-09",395,3,136.57,409.72,136.57
289,"2020-09-18","2024-01-28",1227,2,479.56,959.12,479.56
291,"2024-06-01","2025-09-26",482,2,106.52,213.03,106.52
293,"2021-11-24","2021-11-24",0,1,75.91,75.91,75.91
294,"2020-07-09","2023-01-15",920,2,532.30,1064.59,532.30
296,"2022-02-07","2022-02-07",0,1,31.72,31.72,31.72
297,"2020-09-25","2020-10-30",35,2,56.36,112.72,56.36
298,"2021-10-11","2025-03-24",1260,2,43.04,86.07,43.04
299,"2021-05-02","2021-05-02",0,1,126.67,126.67,126.67
302,"2025-03-23","2025-03-23",0,1,435.02,435.02,435.02
303,"2023-05-06","2024-12-30",604,2,125.15,250.29,125.15
304,"2020-03-13","2022-04-12",760,2,115.46,230.92,115.46
305,"2020-08-19","2024-09-13",1486,4,87.06,348.22,87.06
306,"2022-03-23","2022-03-23",0,1,87.06,87.06,87.06
307,"2023-11-29","2023-11-29",0,1,78.99,78.99,78.99
308,"2020-08-12","2020-11-04",84,2,57.51,115.01,57.51
309,"2024-09-12","2024-09-12",0,1,12.97,12.97,12.97
310,"2020-12-23","2021-02-04",43,2,85.94,171.87,85.94
311,"2020-06-02","2023-01-12",954,2,123.09,246.18,123.09
312,"2023-07-27","2024-11-30",492,2,38.52,77.04,38.52
314,"2020-08-01","2025-04-18",1721,3,284.16,852.49,284.16
315,"2020-04-28","2024-09-13",1599,4,86.93,347.73,86.93
316,"2021-12-30","2024-12-05",1071,3,285.26,855.77,285.26
317,"2020-11-06","2024-08-21",1384,3,76.28,228.84,76.28
318,"2022-11-18","2024-06-24",584,3,206.06,618.18,206.06
320,"2023-12-07","2025-05-20",530,5,85.29,426.47,85.29
322,"2022-10-31","2025-06-03",946,4,82.61,330.42,82.61
323,"2020-06-08","2023-03-29",1024,2,39.26,78.52,39.26
324,"2021-06-11","2021-06-11",0,1,225.48,225.48,225.48
326,"2024-04-18","2024-04-18",0,1,168.69,168.69,168.69
327,"2020-03-26","2025-04-05",1836,6,168.03,1008.15,168.03
331,"2023-01-10","2023-01-10",0,1,48.64,48.64,48.64
332,"2022-04-30","2022-04-30",0,1,130.03,130.03,130.03
333,"2022-02-09","2023-03-13",397,2,14.50,29.00,14.50
334,"2021-08-30","2025-06-28",1398,5,161.02,805.12,161.02
335,"2020-10-25","2022-08-12",656,2,101.67,203.33,101.67
336,"2020-06-13","2025-10-19",1954,3,182.19,546.58,182.19
337,"2020-09-27","2020-09-27",0,1,586.78,586.78,586.78
339,"2023-07-06","2023-07-06",0,1,162.55,162.55,162.55
341,"2024-05-10","2024-05-10",0,1,23.61,23.61,23.61
342,"2022-06-26","2022-06-26",0,1,29.46,29.46,29.46
343,"2020-10-07","2023-01-31",846,3,241.70,725.09,241.70
344,"2023-04-02","2025-04-13",742,3,120.34,361.03,120.34
345,"2025-04-01","2025-09-28",180,2,310.05,620.09,310.05
346,"2023-12-30","2023-12-30",0,1,17.47,17.47,17.47
347,"2020-03-26","2020-03-26",0,1,259.60,259.60,259.60
348,"2020-06-27","2020-06-27",0,1,143.19,143.19,143.19
349,"2021-07-17","2022-01-11",178,3,139.62,418.85,139.62
350,"2021-01-16","2023-07-29",924,2,115.71,231.42,115.71
351,"2022-05-24","2022-05-24",0,1,161.63,161.63,161.63
352,"2021-11-04","2025-01-03",1156,3,96.75,290.25,96.75
353,"2022-06-17","2024-06-18",732,2,211.69,423.38,211.69
354,"2020-07-10","2024-01-24",1293,4,83.57,334.27,83.57
356,"2021-10-23","2021-10-23",0,1,97.89,97.89,97.89
357,"2020-12-17","2020-12-17",0,1,179.55,179.55,179.55
358,"2020-09-23","2020-09-23",0,1,231.10,231.10,231.10
359,"2020-01-23","2024-12-10",1783,3,86.73,260.20,86.73
360,"2024-09-14","2024-09-14",0,1,57.01,57.01,57.01
361,"2020-04-03","2020-06-28",86,2,112.58,225.15,112.58
362,"2020-12-30","2024-11-15",1416,4,174.21,696.85,174.21
363,"2024-05-31","2024-05-31",0,1,65.85,65.85,65.85
364,"2021-06-16","2021-06-16",0,1,242.78,242.78,242.78
365,"2023-12-30","2023-12-30",0,1,183.55,183.55,183.55
366,"2025-09-19","2025-09-19",0,1,187.57,187.57,187.57
369,"2020-08-29","2023-06-19",1024,3,170.26,510.79,170.26
370,"2022-04-07","2022-04-29",22,2,217.45,434.90,217.45
371,"2023-07-23","2023-07-23",0,1,117.47,117.47,117.47
372,"2021-08-24","2022-07-26",336,3,992.76,2978.28,992.76
373,"2025-02-22","2025-02-22",0,1,104.84,104.84,104.84
375,"2022-04-22","2025-06-15",1150,2,102.80,205.59,102.80
376,"2024-04-24","2025-10-31",555,2,130.21,260.42,130.21
377,"2023-08-08","2023-08-08",0,1,251.58,251.58,251.58
379,"2020-03-07","2020-03-07",0,1,50.05,50.05,50.05
381,"2020-02-26","2020-06-09",104,2,110.49,220.97,110.49
382,"2020-09-15","2024-08-27",1442,2,426.67,853.33,426.67
385,"2020-01-03","2022-02-07",766,3,90.31,270.92,90.31
386,"2024-05-26","2024-05-26",0,1,43.79,43.79,43.79
387,"2025-04-07","2025-07-16",100,2,111.90,223.79,111.90
389,"2021-03-06","2024-09-03",1277,3,85.93,257.78,85.93
390,"2021-09-16","2021-09-16",0,1,120.95,120.95,120.95
392,"2022-08-18","2024-01-12",512,2,129.28,258.56,129.28
393,"2020-07-08","2023-07-14",1101,3,226.58,679.75,226.58
394,"2021-05-17","2021-05-17",0,1,158.16,158.16,158.16
395,"2020-01-06","2024-11-15",1775,5,254.63,1273.15,254.63
396,"2021-03-12","2021-03-12",0,1,5.93,5.93,5.93
397,"2022-04-29","2024-09-26",881,2,36.77,73.53,36.77
398,"2020-03-15","2024-09-25",1655,3,200.82,602.46,200.82
399,"2022-12-14","2023-04-01",108,2,307.45,614.89,307.45
400,"2024-06-11","2024-06-11",0,1,80.65,80.65,80.65
401,"2021-08-23","2025-05-04",1350,2,19.55,39.10,19.55
402,"2021-12-06","2024-12-06",1096,3,338.56,1015.68,338.56
403,"2023-03-20","2025-07-12",845,2,61.22,122.44,61.22
405,"2024-11-17","2024-11-17",0,1,75.36,75.36,75.36
406,"2022-02-16","2022-02-16",0,1,234.11,234.11,234.11
407,"2020-03-27","2021-05-13",412,2,131.83,263.66,131.83
408,"2020-11-24","2020-11-24",0,1,107.60,107.60,107.60
410,"2021-12-27","2021-12-27",0,1,168.95,168.95,168.95
412,"2025-02-03","2025-02-03",0,1,201.76,201.76,201.76
413,"2023-09-22","2023-09-22",0,1,133.44,133.44,133.44
414,"2021-10-19","2023-02-10",479,2,225.02,450.04,225.02
415,"2020-01-11","2023-08-03",1300,5,132.24,661.19,132.24
416,"2021-02-25","2025-08-19",1636,2,112.50,225.00,112.50
417,"2021-01-26","2025-10-20",1728,2,91.90,183.79,91.90
419,"2022-08-08","2022-12-15",129,3,125.11,375.33,125.11
420,"2023-02-19","2025-07-08",870,3,138.04,414.11,138.04
421,"2022-10-06","2022-10-06",0,1,42.13,42.13,42.13
422,"2025-04-02","2025-04-02",0,1,122.43,122.43,122.43
423,"2021-07-07","2022-08-22",411,2,82.65,165.30,82.65
424,"2025-01-22","2025-01-22",0,1,17.34,17.34,17.34
425,"2022-01-05","2022-11-20",319,3,35.07,105.20,35.07
426,"2023-10-21","2025-10-14",724,2,152.72,305.43,152.72
428,"2024-03-26","2024-03-26",0,1,25.71,25.71,25.71
429,"2025-07-09","2025-07-09",0,1,28.59,28.59,28.59
430,"2020-05-06","2024-02-10",1375,3,189.51,568.53,189.51
431,"2022-02-08","2025-06-02",1210,2,135.54,271.08,135.54
432,"2021-09-08","2025-09-02",1455,4,128.64,514.57,128.64
433,"2020-08-28","2025-10-29",1888,3,132.75,398.26,132.75
434,"2025-10-10","2025-10-10",0,1,207.64,207.64,207.64
435,"2024-11-25","2024-11-25",0,1,52.87,52.87,52.87
436,"2020-01-25","2025-05-24",1946,3,143.81,431.43,143.81
438,"2024-07-26","2024-07-26",0,1,37.17,37.17,37.17
439,"2021-05-14","2025-05-06",1453,4,51.78,207.10,51.78
441,"2020-06-21","2020-06-21",0,1,813.98,813.98,813.98
442,"2021-03-27","2021-03-27",0,1,43.85,43.85,43.85
443,"2020-05-13","2020-05-13",0,1,10.11,10.11,10.11
444,"2022-04-17","2022-04-17",0,1,248.16,248.16,248.16
445,"2020-09-07","2020-09-07",0,1,52.58,52.58,52.58
449,"2025-07-14","2025-07-14",0,1,11.92,11.92,11.92
450,"2022-01-04","2022-01-04",0,1,85.03,85.03,85.03
451,"2021-05-18","2025-09-28",1594,3,126.94,380.81,126.94
452,"2020-01-14","2020-01-14",0,1,148.93,148.93,148.93
453,"2020-06-15","2022-11-19",887,2,72.94,145.88,72.94
454,"2020-08-17","2025-07-29",1807,2,103.03,206.05,103.03
455,"2020-08-04","2025-01-17",1627,6,184.20,1105.20,184.20
456,"2022-11-29","2024-01-06",403,2,62.74,125.47,62.74
457,"2020-06-09","2025-01-05",1671,4,87.18,348.70,87.18
458,"2021-06-06","2023-06-25",749,3,54.64,163.92,54.64
459,"2021-09-12","2025-06-14",1371,5,68.02,340.08,68.02
463,"2020-04-24","2024-06-09",1507,2,272.26,544.51,272.26
465,"2021-07-30","2025-05-01",1371,2,41.46,82.91,41.46
466,"2024-01-19","2024-07-08",171,2,48.65,97.30,48.65
467,"2025-04-03","2025-04-03",0,1,7.98,7.98,7.98
469,"2021-11-27","2024-10-11",1049,2,224.26,448.52,224.26
470,"2024-07-25","2024-07-25",0,1,150.37,150.37,150.37
472,"2020-05-12","2024-05-17",1466,3,174.57,523.71,174.57
474,"2022-03-12","2024-06-23",834,2,215.52,431.03,215.52
475,"2022-02-02","2025-10-09",1345,4,196.34,785.36,196.34
476,"2021-02-03","2024-01-24",1085,2,110.44,220.88,110.44
477,"2020-05-24","2024-05-28",1465,5,64.20,321.01,64.20
478,"2020-05-11","2020-12-16",219,2,63.54,127.07,63.54
479,"2022-01-16","2022-01-16",0,1,109.67,109.67,109.67
481,"2021-09-15","2023-12-19",825,3,122.79,368.36,122.79
482,"2022-11-06","2024-01-16",436,3,247.47,742.42,247.47
483,"2020-11-07","2025-08-29",1756,4,140.94,563.77,140.94
484,"2021-02-20","2022-12-18",666,2,153.08,306.15,153.08
485,"2020-10-02","2024-12-15",1535,4,80.78,323.10,80.78
487,"2020-12-15","2024-07-21",1314,2,387.25,774.50,387.25
488,"2022-10-09","2023-03-12",154,3,117.48,352.45,117.48
489,"2023-06-04","2025-09-11",830,4,43.43,173.73,43.43
490,"2025-08-15","2025-08-15",0,1,57.72,57.72,57.72
493,"2020-09-22","2025-08-11",1784,3,128.03,384.10,128.03
494,"2023-02-25","2023-02-25",0,1,217.85,217.85,217.85
495,"2022-01-04","2025-09-28",1363,5,69.10,345.51,69.10
496,"2022-08-28","2024-11-10",805,3,128.31,384.93,128.31
497,"2021-05-26","2023-12-10",928,2,219.38,438.76,219.38
498,"2021-10-16","2025-10-14",1459,5,188.23,941.15,188.23
499,"2020-02-01","2022-02-04",734,3,173.27,519.80,173.27
500,"2022-02-20","2025-07-29",1255,3,121.51,364.54,121.51
502,"2020-04-08","2020-04-08",0,1,159.49,159.49,159.49
503,"2021-02-02","2022-07-19",532,5,420.19,2100.96,420.19
504,"2021-06-17","2025-04-27",1410,3,135.13,405.38,135.13
505,"2021-05-16","2023-12-21",949,4,176.26,705.02,176.26
506,"2022-05-05","2025-08-18",1201,2,128.51,257.02,128.51
507,"2021-09-26","2021-09-26",0,1,375.01,375.01,375.01
508,"2022-07-25","2025-10-21",1184,2,251.05,502.09,251.05
509,"2023-01-06","2024-03-29",448,2,128.08,256.16,128.08
510,"2021-03-27","2022-03-13",351,3,242.98,728.95,242.98
511,"2022-02-25","2022-02-25",0,1,73.44,73.44,73.44
512,"2023-05-28","2023-05-28",0,1,89.90,89.90,89.90
513,"2022-02-26","2024-06-16",841,2,106.76,213.52,106.76
514,"2022-12-10","2025-01-04",756,2,91.46,182.92,91.46
515,"2022-07-19","2024-11-01",836,3,249.21,747.64,249.21
